moment,criterion_old_mean,criterion_old_std,criterion_new_mean,criterion_new_std,absolute_reduction_mean,absolute_reduction_std,percent_reduction_mean,old_share_of_total,new_share_of_total,share_of_total_reduction,education_level
hours_1,151.77625014504991,6.644338317818554,101.39564043721087,5.943245519669734,50.38060970783904,3.1098516432026906,33.21704047677501,0.45260916686509345,0.43543459394868245,49.16359263410766,edu1
nowork_nowork,32.379324112990105,0.24959602756502577,11.18920509164492,0.14784113159836856,21.190119021345186,0.18580254846991492,65.44367622103798,0.09655778750911018,0.048051049874338725,20.67824080484626,edu1
hours_0,16.700892859477545,0.1725001890987163,7.082355499060844,0.10784497801760846,9.6185373604167,0.11793245777810861,57.5933555462938,0.04980342573892382,0.030414548176195797,9.386187568307518,edu1
hours_4,9.724952980984057,0.16270449174098348,2.0356667926672682,0.07099446162657391,7.689286188316789,0.14139703043475105,79.06783120818915,0.029000603601148835,0.0087419906759087,7.503540270785101,edu1
hours_2,77.644910388928,3.7938561836523825,70.50205081270035,3.736060782595891,7.142859576227652,0.6899629609948312,9.213840163301105,0.2315434606459323,0.30276481055601095,6.970313390106722,edu1
hours_3,43.54976077626243,2.030383244402756,38.149435840536924,1.9986069096805226,5.400324935725498,0.5244806072116456,12.416613889195595,0.12986894144031616,0.16382937208116172,5.2698722141608245,edu1
work_work,3.560135345012357,0.09491776470606882,2.5064283999454555,0.08595967450982957,1.0537069450669017,0.12838631100779918,29.547050493079748,0.010616614199475056,0.01076363468770173,1.0282531176858445,edu1
hours_1,67.64242150738481,2.986811111644038,43.85820704191578,2.444324321894106,23.784214465469038,1.9331914592639954,35.157021796100935,0.283018600644374,0.2564006236227131,35.002515506768184,edu2
hours_2,79.59978504945082,3.4743185042512574,62.24480329028443,3.2912047521851906,17.35498175916639,0.951993475010313,21.827459538482064,0.3330486885929865,0.36389099001811126,25.54080644651305,edu2
hours_3,62.8377583039118,2.7791102059957957,50.4921188823575,2.6358485185838485,12.345639421554294,1.1220034197085478,19.659506289823838,0.26291569737580917,0.2951833110071233,18.16870748122902,edu2
nowork_nowork,13.515419915203214,0.18086883605762719,6.9320658281155465,0.10233389964269059,6.583354087087668,0.13339897020414798,48.707714274405376,0.05654905821348093,0.04052573329374494,9.688524876631343,edu2
hours_0,9.451579444075616,0.13397548153602917,5.438016818140502,0.08101111950259003,4.013562625935114,0.09802755996889773,42.46125152522361,0.03954578692676419,0.031791333879870376,5.906639811696998,edu2
hours_4,3.084116588818052,0.0850584432037061,0.7854293851005805,0.031485799929692956,2.2986872037174715,0.08236236715077089,74.52127249323607,0.012904067325503586,0.004591719491837124,3.3829090555059325,edu2
work_work,2.8723675630195755,0.08194682970385789,1.3027923309555989,0.050419210517938476,1.5695752320639764,0.10102053853089324,54.601245801728936,0.012018100921081597,0.007616288686599999,2.309896821655454,edu2
hours_2,160.33400653782266,6.812947081102307,102.41315785239333,5.947686731660334,57.92084868542932,3.3808289076667646,36.14667718454208,0.5407731299890784,0.47982713138842775,69.73985632731089,edu3
hours_1,34.150490622949185,1.9594743573413234,22.681736926236905,1.3062515438376325,11.468753696712279,1.636651833866605,33.48751242609174,0.11518247503207249,0.10626869625394422,13.809004067014586,edu3
hours_3,73.39855458718418,3.643540880981885,69.10735435428349,3.516224855103074,4.291200232900693,1.251400948542517,5.837706781794058,0.24755800068791095,0.3237824542570191,5.1668387895963575,edu3
hours_0,10.025462572619503,0.16810525916740124,5.969462483469749,0.09079676149508198,4.056000089149754,0.14151191997047088,40.44845870442397,0.03381379217081362,0.02796818416147679,4.883645006949321,edu3
nowork_nowork,13.009949214402326,0.20868559080922866,9.645494935025587,0.11990004429972076,3.36445427937674,0.1733584396636851,25.84980372731481,0.0438798425211912,0.04519116744906406,4.050986188718705,edu3
hours_4,2.464099352606251,0.0892709136961694,0.8848234998602734,0.03542627016057216,1.5792758527459776,0.08326164211215722,64.06311776241327,0.008310892668914901,0.004145583737735534,1.9015341379036548,edu3
work_work,3.10777223883167,0.11774363677033396,2.735583524375344,0.06599852231252644,0.3721887144563261,0.15162606783448493,11.824775471165106,0.010481866930018468,0.01281678275233256,0.4481354825064979,edu3
