model,seed,moment,squared_error_sum,empirical_variance,weight,criterion_value,total_criterion,share_of_total_criterion,run
old_model_edu1,1501552845,hours_0,0.6667093479802013,0.09383737769701109,10.656734272383432,7.104944358339023,228.38462961444856,0.031109555710177858,1
old_model_edu1,1501552845,hours_1,0.036434210625637946,0.0003774710394068248,2649.2091595967977,96.52184451211902,228.38462961444856,0.4226284609216655,1
old_model_edu1,1501552845,hours_2,0.04643901741461809,0.0006603871856662427,1514.2629510062923,70.32088355209218,228.38462961444856,0.3079054999051626,1
old_model_edu1,1501552845,hours_3,0.04733616440780813,0.001228700509100839,813.8679126494437,38.525385319413694,228.38462961444856,0.1686864189785932,1
old_model_edu1,1501552845,hours_4,0.1302527487465893,0.061082580566403206,16.371279489015148,2.132404153942881,228.38462961444856,0.009336898711365714,1
old_model_edu1,1501552845,work_work,0.21649775778178698,0.08657059463138579,11.551266375180099,2.5008232697666415,228.38462961444856,0.010950050684183298,1
old_model_edu1,1501552845,nowork_nowork,1.085857218335338,0.09627806830509002,10.386581456874474,11.278344448775119,228.38462961444856,0.04938311508885186,1
old_model_edu1,488200390,hours_0,0.6527731867060782,0.09383737769701109,10.656734272383432,6.956430390863612,230.5297634745993,0.03017584491483721,2
old_model_edu1,488200390,hours_1,0.038584064014044225,0.0003774710394068248,2649.2091595967977,102.21725580047514,230.5297634745993,0.44340155587648383,2
old_model_edu1,488200390,hours_2,0.0463516667545145,0.0006603871856662427,1514.2629510062923,70.18861168375138,230.5297634745993,0.3044665930587529,2
old_model_edu1,488200390,hours_3,0.04370831848736953,0.001228700509100839,813.8679126494437,35.57279793273253,230.5297634745993,0.1543089161094467,2
old_model_edu1,488200390,hours_4,0.12031086865742288,0.061082580566403206,16.371279489015148,1.9696428563568626,230.5297634745993,0.008543985065832448,2
old_model_edu1,488200390,work_work,0.21311842009131132,0.08657059463138579,11.551266375180099,2.4617876399322713,230.5297634745993,0.010678827769688495,2
old_model_edu1,488200390,nowork_nowork,1.0747749119224386,0.09627806830509002,10.386581456874474,11.163237170487497,230.5297634745993,0.04842427720495843,2
old_model_edu1,1693606510,hours_0,0.6638136253292027,0.09383737769701109,10.656734272383432,7.07408541152081,230.20902862116967,0.03072896599186765,3
old_model_edu1,1693606510,hours_1,0.039479357404974956,0.0003774710394068248,2649.2091595967977,104.58907525225531,230.20902862116967,0.45432221263730865,3
old_model_edu1,1693606510,hours_2,0.0426038942223845,0.0006603871856662427,1514.2629510062923,64.51349858954788,230.20902862116967,0.2802387854896466,3
old_model_edu1,1693606510,hours_3,0.04714213277853827,0.001228700509100839,813.8679126494437,38.36746920231187,230.20902862116967,0.16666361624525639,3
old_model_edu1,1693606510,hours_4,0.12340113597708671,0.061082580566403206,16.371279489015148,2.020234486342849,230.20902862116967,0.008775652711985212,3
old_model_edu1,1693606510,work_work,0.21428212197372876,0.08657059463138579,11.551266375180099,2.4752298703573734,230.20902862116967,0.010752097279514584,3
old_model_edu1,1693606510,nowork_nowork,1.0753717048491407,0.09627806830509002,10.386581456874474,11.169435808833574,230.20902862116967,0.048518669644420934,3
old_model_edu1,680233354,hours_0,0.659089957698345,0.09383737769701109,10.656734272383432,7.023746540787699,218.8233876067278,0.032097787250286364,4
old_model_edu1,680233354,hours_1,0.03510821979042236,0.0003774710394068248,2649.2091595967977,93.00901744592448,218.8233876067278,0.4250414841994928,4
old_model_edu1,680233354,hours_2,0.04329759972533603,0.0006603871856662427,1514.2629510062923,65.56395113157657,218.8233876067278,0.29962040094822473,4
old_model_edu1,680233354,hours_3,0.04573503249595748,0.001228700509100839,813.8679126494437,37.22227543243939,218.8233876067278,0.17010190656282015,4
old_model_edu1,680233354,hours_4,0.13158284819694382,0.061082580566403206,16.371279489015148,2.1541795837928204,218.8233876067278,0.009844375445207618,4
old_model_edu1,680233354,work_work,0.22576179377448186,0.08657059463138579,11.551266375180099,2.607834617227516,218.8233876067278,0.0119175315113682,4
old_model_edu1,680233354,nowork_nowork,1.0823949055479098,0.09627806830509002,10.386581456874474,11.242382854979319,218.8233876067278,0.05137651408260013,4
old_model_edu1,438466540,hours_0,0.6732681148217129,0.09383737769701109,10.656734272383432,7.1748393937235315,239.4416895764581,0.029964871223615696,5
old_model_edu1,438466540,hours_1,0.039970793780647294,0.0003774710394068248,2649.2091595967977,105.89099300004553,239.4416895764581,0.4422412537572435,5
old_model_edu1,438466540,hours_2,0.048930438776244374,0.0006603871856662427,1514.2629510062923,74.09355061534852,239.4416895764581,0.3094429827421056,5
old_model_edu1,438466540,hours_3,0.04481488893476158,0.001228700509100839,813.8679126494437,36.473400112951055,239.4416895764581,0.15232685743851818,5
old_model_edu1,438466540,hours_4,0.12477382232485833,0.061082580566403206,16.371279489015148,2.0427071181929737,239.4416895764581,0.008531125560491421,5
old_model_edu1,438466540,work_work,0.21815661100478148,0.08657059463138579,11.551266375180099,2.519985125222777,239.4416895764581,0.010524420913001034,5
old_model_edu1,438466540,nowork_nowork,1.0827637811024249,0.09627806830509002,10.386581456874474,11.246214210973738,239.4416895764581,0.04696848836502474,5
old_model_edu1,1712329280,hours_0,0.6665094967085691,0.09383737769701109,10.656734272383432,7.10281459644324,240.23043992042057,0.029566671895518898,6
old_model_edu1,1712329280,hours_1,0.0406467110524033,0.0003774710394068248,2649.2091595967977,107.68163922751121,240.23043992042057,0.4482431088382561,6
old_model_edu1,1712329280,hours_2,0.04534788579358833,0.0006603871856662427,1514.2629510062923,68.66862336369539,240.23043992042057,0.28584480545613933,6
old_model_edu1,1712329280,hours_3,0.05060098942891912,0.001228700509100839,813.8679126494437,41.18252164451097,240.23043992042057,0.1714292396007484,6
old_model_edu1,1712329280,hours_4,0.11830695437969452,0.061082580566403206,16.371279489015148,1.9368362156441437,240.23043992042057,0.008062409644197237,6
old_model_edu1,1712329280,work_work,0.21159701232183015,0.08657059463138579,11.551266375180099,2.4442134535217255,240.23043992042057,0.010174453555225569,6
old_model_edu1,1712329280,nowork_nowork,1.07964217732793,0.09627806830509002,10.386581456874474,11.21379141909386,240.23043992042057,0.04667931100991437,6
old_model_edu1,1380152455,hours_0,0.6649678997882565,0.09383737769701109,10.656734272383432,7.086386207708345,241.09132890628075,0.029392953449864763,7
old_model_edu1,1380152455,hours_1,0.04126474424155909,0.0003774710394068248,2649.2091595967977,109.31893841315755,241.09132890628075,0.45343372119224173,7
old_model_edu1,1380152455,hours_2,0.046821034658359365,0.0006603871856662427,1514.2629510062923,70.89935811093514,241.09132890628075,0.29407676515191383,7
old_model_edu1,1380152455,hours_3,0.04682812063171557,0.001228700509100839,813.8679126494437,38.1119047918307,241.09132890628075,0.15808077778958993,7
old_model_edu1,1380152455,hours_4,0.12178548228468195,0.061082580566403206,16.371279489015148,1.9937841681870312,241.09132890628075,0.008269829434479884,7
old_model_edu1,1380152455,work_work,0.22619501441090775,0.08657059463138579,11.551266375180099,2.6128388641980966,241.09132890628075,0.01083754806135638,7
old_model_edu1,1380152455,nowork_nowork,1.0656170556423352,0.09627806830509002,10.386581456874474,11.068118350263854,241.09132890628075,0.04590840492055338,7
old_model_edu1,1452245846,hours_0,0.654140702030358,0.09383737769701109,10.656734272383432,6.971003638287875,227.45518907210044,0.03064781096762824,8
old_model_edu1,1452245846,hours_1,0.034905466426560484,0.0003774710394068248,2649.2091595967977,92.47188137724254,227.45518907210044,0.4065498868347651,8
old_model_edu1,1452245846,hours_2,0.04826003601541902,0.0006603871856662427,1514.2629510062923,73.07838455237835,227.45518907210044,0.3212869526103158,8
old_model_edu1,1452245846,hours_3,0.04843028848408887,0.001228700509100839,813.8679126494437,39.4158577975558,227.45518907210044,0.17329065104362806,8
old_model_edu1,1452245846,hours_4,0.12159778970302008,0.061082580566403206,16.371279489015148,1.99071140047463,227.45518907210044,0.008752103693899898,8
old_model_edu1,1452245846,work_work,0.20953374106282494,0.08657059463138579,11.551266375180099,2.420380057604703,227.45518907210044,0.010641129215291163,8
old_model_edu1,1452245846,nowork_nowork,1.0693576413638264,0.09627806830509002,10.386581456874474,11.106970248556543,227.45518907210044,0.04883146563447173,8
old_model_edu1,2122694021,hours_0,0.6600959206011537,0.09383737769701109,10.656734272383432,7.034466820130808,234.77519013454898,0.029962564681980986,9
old_model_edu1,2122694021,hours_1,0.04032474460939747,0.0003774710394068248,2649.2091595967977,106.82868277761737,234.77519013454898,0.4550254339753454,9
old_model_edu1,2122694021,hours_2,0.04465735382523908,0.0006603871856662427,1514.2629510062923,67.62297638753867,234.77519013454898,0.2880328894581414,9
old_model_edu1,2122694021,hours_3,0.046447785330197035,0.001228700509100839,813.8679126494437,37.802362093876916,234.77519013454898,0.16101514845845719,9
old_model_edu1,2122694021,hours_4,0.1219319575000976,0.061082580566403206,16.371279489015148,1.9961821548768144,234.77519013454898,0.008502525985530278,9
old_model_edu1,2122694021,work_work,0.19897915221619167,0.08657059463138579,11.551266375180099,2.2984611903567376,234.77519013454898,0.009790051448960583,9
old_model_edu1,2122694021,nowork_nowork,1.0775497940897683,0.09627806830509002,10.386581456874474,11.192058710151695,234.77519013454898,0.04767138599158437,9
old_model_edu1,839901363,hours_0,0.6611310742567693,0.09383737769701109,10.656734272383432,7.045498177569789,232.34296574583902,0.030323699084038078,10
old_model_edu1,839901363,hours_1,0.038566769782395705,0.0003774710394068248,2649.2091595967977,102.17143976358369,232.34296574583902,0.43974406298725427,10
old_model_edu1,839901363,hours_2,0.04558630841442084,0.0006603871856662427,1514.2629510062923,69.02965790510387,232.34296574583902,0.29710242220380245,10
old_model_edu1,839901363,hours_3,0.04725728947658362,0.001228700509100839,813.8679126494437,38.46119154377764,232.34296574583902,0.1655362856384062,10
old_model_edu1,839901363,hours_4,0.1237919707857272,0.061082580566403206,16.371279489015148,2.0266329522291384,232.34296574583902,0.008722592249451102,10
old_model_edu1,839901363,work_work,0.21813184594411114,0.08657059463138579,11.551266375180099,2.5196990574101763,232.34296574583902,0.010844740013203093,10
old_model_edu1,839901363,nowork_nowork,1.0676127070495807,0.09627806830509002,10.386581456874474,11.088846346164734,232.34296574583902,0.04772619782384491,10
old_model_edu1,1802651552,hours_0,0.6725573574077626,0.09383737769701109,10.656734272383432,7.167265040830936,233.38618353848005,0.03070989435691774,11
old_model_edu1,1802651552,hours_1,0.03660741203461548,0.0003774710394068248,2649.2091595967977,96.98069127123738,233.38618353848005,0.4155374144298798,11
old_model_edu1,1802651552,hours_2,0.04804482792718695,0.0006603871856662427,1514.2629510062923,72.75250291761164,233.38618353848005,0.3117258348998042,11
old_model_edu1,1802651552,hours_3,0.04991016894245355,0.001228700509100839,813.8679126494437,40.62028501717577,233.38618353848005,0.1740475138729813,11
old_model_edu1,1802651552,hours_4,0.12380574165590065,0.061082580566403206,16.371279489015148,2.0268583989935545,233.38618353848005,0.00868456893318782,11
old_model_edu1,1802651552,work_work,0.2111057919368411,0.08657059463138579,11.551266375180099,2.4385392360057985,233.38618353848005,0.0104485158420003,11
old_model_edu1,1802651552,nowork_nowork,1.0975739904374144,0.09627806830509002,10.386581456874474,11.40004165662497,233.38618353848005,0.048846257665228765,11
old_model_edu1,714712467,hours_0,0.6560201525412482,0.09383737769701109,10.656734272383432,6.991032442960527,227.76649905583758,0.03069385740194679,12
old_model_edu1,714712467,hours_1,0.03749496600531663,0.0003774710394068248,2649.2091595967977,99.33200738005536,227.76649905583758,0.43611333445356176,12
old_model_edu1,714712467,hours_2,0.04405879782489284,0.0006603871856662427,1514.2629510062923,66.71660521211184,227.76649905583758,0.29291667338556265,12
old_model_edu1,714712467,hours_3,0.047994344094176605,0.001228700509100839,813.8679126494437,39.06105664690667,227.76649905583758,0.17149605762404393,12
old_model_edu1,714712467,hours_4,0.1211032119980098,0.061082580566403206,16.371279489015148,1.982614530636871,227.76649905583758,0.008704592373573024,12
old_model_edu1,714712467,work_work,0.23523454109801642,0.08657059463138579,11.551266375180099,2.717256844866438,227.76649905583758,0.011930011025020388,12
old_model_edu1,714712467,nowork_nowork,1.0557781733894687,0.09627806830509002,10.386581456874474,10.96592599829986,227.76649905583758,0.04814547373629136,12
old_model_edu1,1218704077,hours_0,0.6757851301293338,0.09383737769701109,10.656734272383432,7.201662557016369,235.4795275485909,0.03058296673170586,13
old_model_edu1,1218704077,hours_1,0.03936681143343882,0.0003774710394068248,2649.2091595967977,104.29091743358606,235.4795275485909,0.4428874073227693,13
old_model_edu1,1218704077,hours_2,0.044959809455563465,0.0006603871856662427,1514.2629510062923,68.08097374286214,235.4795275485909,0.2891163170387019,13
old_model_edu1,1218704077,hours_3,0.048973672189787404,0.001228700509100839,813.8679126494437,39.85810035988039,235.4795275485909,0.1692635481938264,13
old_model_edu1,1218704077,hours_4,0.12644965263138572,0.061082580566403206,16.371279489015148,2.0701426045172955,235.4795275485909,0.00879117869000363,13
old_model_edu1,1218704077,work_work,0.22336200444167573,0.08657059463138579,11.551266375180099,2.5801140113999566,235.4795275485909,0.010956850636909628,13
old_model_edu1,1218704077,nowork_nowork,1.0973405337118955,0.09627806830509002,10.386581456874474,11.397616839328713,235.4795275485909,0.048401731386083356,13
old_model_edu1,1284858263,hours_0,0.6553218352515693,0.09383737769701109,10.656734272383432,6.983590661166607,220.60182108729296,0.031656994610226606,14
old_model_edu1,1284858263,hours_1,0.03241293754959367,0.0003774710394068248,2649.2091595967977,85.86865104582255,220.60182108729296,0.38924724475345107,14
old_model_edu1,1284858263,hours_2,0.04739042473593488,0.0006603871856662427,1514.2629510062923,71.76156441007835,220.60182108729296,0.3252990571717993,14
old_model_edu1,1284858263,hours_3,0.050057364421667354,0.001228700509100839,813.8679126494437,40.74008269459494,220.60182108729296,0.18467700082346072,14
old_model_edu1,1284858263,hours_4,0.11567807282341033,0.061082580566403206,16.371279489015148,1.893798060942698,220.60182108729296,0.008584689154462217,14
old_model_edu1,1284858263,work_work,0.20893431067163862,0.08657059463138579,11.551266375180099,2.4134558774827317,220.60182108729296,0.010940326174949019,14
old_model_edu1,1284858263,nowork_nowork,1.053347377347519,0.09627806830509002,10.386581456874474,10.940678337205101,220.60182108729296,0.049594687311651134,14
old_model_edu1,457721135,hours_0,0.658063460194115,0.09383737769701109,10.656734272383432,7.012807429653855,227.37469568423737,0.030842514856590588,15
old_model_edu1,457721135,hours_1,0.03643765649629749,0.0003774710394068248,2649.2091595967977,96.53097334423306,227.37469568423737,0.4245458055644361,15
old_model_edu1,457721135,hours_2,0.04653122355597547,0.0006603871856662427,1514.2629510062923,70.46050789580492,227.37469568423737,0.30988720043700785,15
old_model_edu1,457721135,hours_3,0.046238965399658605,0.001228700509100839,813.8679126494437,37.63241025289,227.37469568423737,0.16550834797004566,15
old_model_edu1,457721135,hours_4,0.1277786919577748,0.061082580566403206,16.371279489015148,2.0919006787815033,227.37469568423737,0.0092002351998157,15
old_model_edu1,457721135,work_work,0.20909956325711593,0.08657059463138579,11.551266375180099,2.415364754116767,227.37469568423737,0.010622838864492919,15
old_model_edu1,457721135,nowork_nowork,1.0812731191092766,0.09627806830509002,10.386581456874474,11.230731328757237,227.37469568423737,0.049393057107611126,15
old_model_edu1,401008609,hours_0,0.6912539902504141,0.09383737769701109,10.656734272383432,7.36651008882339,242.85800081333758,0.030332581443282748,16
old_model_edu1,401008609,hours_1,0.041727910861620914,0.0003774710394068248,2649.2091595967977,110.54596366544483,242.85800081333758,0.4551876540827298,16
old_model_edu1,401008609,hours_2,0.04707787407597702,0.0006603871856662427,1514.2629510062923,71.28828052539158,242.85800081333758,0.29353894163109856,16
old_model_edu1,401008609,hours_3,0.04600274022630021,0.001228700509100839,813.8679126494437,37.440154164133546,242.85800081333758,0.1541647960484955,16
