education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,work_work,nowork_nowork
udd1,73,27615,0.1057758465,0.8942241535,0.059967409,0.0164403404,0.00854608,0.020822017,0.0970778497,0.8718269016
udd1,74,27541,0.0951672053,0.9048327947,0.0567880614,0.0134708253,0.0076249955,0.017283323,0.0861905835,0.8887136743
udd1,75,27329,0.085733104,0.914266896,0.0530206008,0.0135753229,0.0064034542,0.0127337261,0.078566939,0.8978180839
udd1,76,25186,0.0762725324,0.9237274676,0.0495116334,0.011355515,0.0048042563,0.0106011276,0.0695135434,0.9088815183
udd1,77,22442,0.0706710632,0.9293289368,0.0462971215,0.0105159968,0.0043222529,0.009535692,0.0632012352,0.9167267113
udd1,78,19392,0.0636344884,0.9363655116,0.0436262376,0.0086633663,0.0028877888,0.0084570957,0.056398872,0.9263214736
udd1,79,16359,0.0566660554,0.9433339446,0.03973348,0.0067241274,0.00311755,0.007090898,0.0523964833,0.9325723199
udd1,80,13610,0.0522409993,0.9477590007,0.0368846436,0.006098457,0.0031594416,0.006098457,0.0474093264,0.9380829016
udd1,81,11239,0.0477800516,0.9522199484,0.0344336685,0.005516505,0.0020464454,0.0057834327,0.0412920761,0.9424001673
udd1,82,7491,0.0392470965,0.9607529035,0.0288346015,0.0044052863,0.0017354158,0.0042717928,0.0362027353,0.9497184232
udd1,83,4499,0.0384529896,0.9615470104,0.0295621249,0.0031118026,0.0017781729,0.0040008891,0.0355386679,0.9532856504
udd1,84,1982,0.0363269425,0.9636730575,0.0277497477,0.0015136226,0.0005045409,0.0065590313,0.0344478217,0.9549138804
udd2,30,1113,0.8364779874,0.1635220126,0.1545372866,0.1374663073,0.1132075472,0.4312668464,,
udd2,31,2004,0.8383233533,0.1616766467,0.1317365269,0.120758483,0.0903193613,0.495508982,0.7853535354,0.1287878788
udd2,32,2718,0.8465783664,0.1534216336,0.1026490066,0.102281089,0.1081677704,0.5334805004,0.7988126649,0.1187335092
udd2,33,3314,0.8569704285,0.1430295715,0.0911285456,0.0983705492,0.1007845504,0.5666867833,0.8035882908,0.1213408876
udd2,34,3924,0.8519367992,0.1480632008,0.0751783894,0.0891946993,0.0976044852,0.5899592253,0.8143555054,0.1206313416
udd2,35,4527,0.8641484427,0.1358515573,0.0799646565,0.084824387,0.0967528164,0.6026065827,0.822180333,0.1055607917
udd2,36,7085,0.8955539873,0.1044460127,0.0640790402,0.0760762174,0.0844036697,0.67099506,0.8490860455,0.0864913063
udd2,37,9565,0.8999477261,0.1000522739,0.0552012546,0.063565081,0.0762153685,0.704966022,0.8686110309,0.0750794109
udd2,38,12100,0.9083471074,0.0916528926,0.047107438,0.0538842975,0.0744628099,0.732892562,0.8816145439,0.0709879883
udd2,39,14860,0.9185733513,0.0814266487,0.0436069987,0.0539030956,0.0719380888,0.7491251682,0.8948215951,0.0634799559
udd2,40,14575,0.9162950257,0.0837049743,0.0422641509,0.0501543739,0.0701886792,0.7536878216,0.8976227659,0.0614263404
udd2,41,14728,0.9144486692,0.0855513308,0.0401955459,0.0516702879,0.0669473112,0.7556355242,0.8978013383,0.0630051273
udd2,42,15004,0.9142228739,0.0857771261,0.0396560917,0.0477872567,0.068315116,0.7584644095,0.8968861664,0.064743917
udd2,43,15152,0.9114968321,0.0885031679,0.0384107709,0.0442845829,0.0658658923,0.7629355861,0.8962600547,0.0671697487
udd2,44,15237,0.9129093654,0.0870906346,0.0398372383,0.0439062808,0.0632670473,0.765898799,0.8929812945,0.0701042874
udd2,45,15257,0.9136134233,0.0863865767,0.0391295799,0.0407026283,0.0641017238,0.7696794914,0.8953038901,0.0697425775
udd2,46,15375,0.9116097561,0.0883902439,0.0353821138,0.0433821138,0.0607479675,0.772097561,0.8925199113,0.0703670252
udd2,47,15578,0.9089741944,0.0910258056,0.0360123251,0.0396713314,0.0596995763,0.7735909616,0.8930225132,0.0736068977
udd2,48,15708,0.9064171123,0.0935828877,0.0339317545,0.0413801884,0.0536032595,0.7775019099,0.8916852501,0.0759796113
udd2,49,15636,0.9031721668,0.0968278332,0.0375415707,0.036838066,0.0571757483,0.7716167818,0.884820081,0.0801493367
udd2,50,15191,0.8943453361,0.1056546639,0.0366664472,0.0385096439,0.0576657231,0.7615035218,0.8800226831,0.0859526896
udd2,51,14835,0.8928210313,0.1071789687,0.0387596899,0.0373441186,0.0583080553,0.7584091675,0.8760535449,0.0882498761
udd2,52,14402,0.8886960144,0.1113039856,0.0370781836,0.0370781836,0.0542285794,0.7603110679,0.8707327404,0.0943667937
udd2,53,14078,0.8820855235,0.1179144765,0.0390680494,0.0364398352,0.0583179429,0.748259696,0.8637397236,0.1012768935
udd2,54,13964,0.8815525637,0.1184474363,0.0421798911,0.0370237754,0.0540676024,0.7482812948,0.8615302681,0.1025208592
udd2,55,13816,0.8784742328,0.1215257672,0.0408946149,0.0339461494,0.0525477707,0.7510856977,0.8606419666,0.1038111239
udd2,56,13539,0.8712608021,0.1287391979,0.039220031,0.0372996529,0.0532535638,0.7414875545,0.8555966447,0.109768197
udd2,57,13004,0.8638880345,0.1361119655,0.0385266072,0.0369117195,0.0563672716,0.7320824362,0.8476987448,0.1190144119
udd2,58,12185,0.86056627,0.13943373,0.0397209684,0.0357816988,0.0517849815,0.7332786213,0.8392575039,0.1250987362
udd2,59,11532,0.8474679154,0.1525320846,0.0407561568,0.0378078391,0.0520291363,0.7168747832,0.8322083949,0.132777895
