age,moment,sim_value,label,n_individuals,sim_time,benchmark_value,simulation_error,education,n_data,data_value,data_se,denominator_note,simulation_error_to_data_se
36,hours_0,0.25477834484138895,N=10000,10000,3.043421745300293,0.25633963786079067,0.0015612930194017216,udd1,17702,0.2521184047,0.0032636796977581362,Uses total age-cell frequency,0.4783842668366611
37,hours_0,0.2431188069262336,N=10000,10000,3.043421745300293,0.2499867353159948,0.006867928389761191,udd1,22115,0.2366719421,0.0028581533632124284,Uses total age-cell frequency,2.402925076785231
38,hours_0,0.24244244244244245,N=10000,10000,3.043421745300293,0.24476886668208991,0.002326424239647462,udd1,26699,0.2224802427,0.0025453877161882243,Uses total age-cell frequency,0.9139763757213911
39,hours_0,0.23933506909673544,N=10000,10000,3.043421745300293,0.23997190439880522,0.0006368353020697881,udd1,31731,0.2131039047,0.0022988599768867745,Uses total age-cell frequency,0.27702222339449345
40,hours_0,0.23284240056106603,N=10000,10000,3.043421745300293,0.2344266667201402,0.0015842661590741713,udd1,32214,0.2126094245,0.002279628274445702,Uses total age-cell frequency,0.69496688422124
41,hours_0,0.23754136167652662,N=10000,10000,3.043421745300293,0.2283880198378418,0.009153341838684825,udd1,32959,0.2158135866,0.0022660111095178944,Uses total age-cell frequency,4.039407309274951
42,hours_0,0.22664793819604695,N=10000,10000,3.043421745300293,0.22363212804627017,0.003015810149776782,udd1,33929,0.2110583866,0.0022153288792549682,Uses total age-cell frequency,1.3613374420465378
43,hours_0,0.2146444355162716,N=10000,10000,3.043421745300293,0.21928646666720272,0.00464203115093112,udd1,34810,0.2128411376,0.0021938501947408816,Uses total age-cell frequency,2.115928955431433
44,hours_0,0.21105527638190955,N=10000,10000,3.043421745300293,0.21510428039134202,0.0040490040094324775,udd1,35491,0.2131526302,0.0021738595353921033,Uses total age-cell frequency,1.8625876895501212
45,hours_0,0.22221104516648224,N=10000,10000,3.043421745300293,0.2110273648958389,0.011183680270643342,udd1,36530,0.210511908,0.0021329775752958625,Uses total age-cell frequency,5.24322449526553
46,hours_0,0.20963030119875087,N=10000,10000,3.043421745300293,0.20754395275117082,0.0020863484475800442,udd1,37648,0.2112462813,0.002103750786040311,Uses total age-cell frequency,0.991727946781652
47,hours_0,0.20667742586241677,N=10000,10000,3.043421745300293,0.20331121210008216,0.003366213762334619,udd1,38609,0.2123080111,0.002081215868645027,Uses total age-cell frequency,1.6174265308318008
48,hours_0,0.19753336029114435,N=10000,10000,3.043421745300293,0.20002774099227708,0.0024943807011327257,udd1,39731,0.2165311721,0.002066361617364992,Uses total age-cell frequency,1.2071365825665792
49,hours_0,0.19989868287740628,N=10000,10000,3.043421745300293,0.19707517500253627,0.0028235078748700126,udd1,40045,0.221126233,0.002073860420280879,Uses total age-cell frequency,1.3614744016801301
50,hours_0,0.1894993399004773,N=10000,10000,3.043421745300293,0.1957621224569481,0.006262782556470808,udd1,40332,0.2276852127,0.002088044301422947,Uses total age-cell frequency,2.999353295427155
51,hours_0,0.19301639010485594,N=10000,10000,3.043421745300293,0.1974042260342059,0.004387835929349965,udd1,40778,0.2333366031,0.002094502289083435,Uses total age-cell frequency,2.0949301188255585
52,hours_0,0.19332107843137256,N=10000,10000,3.043421745300293,0.20126756631562157,0.00794648788424901,udd1,41035,0.2350188863,0.0020931459883932807,Uses total age-cell frequency,3.7964327038406007
53,hours_0,0.20778289810547876,N=10000,10000,3.043421745300293,0.20651791384895093,0.0012649842565278235,udd1,41296,0.2390304146,0.0020987283947791133,Uses total age-cell frequency,0.6027384294578816
54,hours_0,0.21089974293059127,N=10000,10000,3.043421745300293,0.21532577623633503,0.0044260333057437595,udd1,42101,0.2423932923,0.0020885073047798696,Uses total age-cell frequency,2.119232858613471
55,hours_0,0.2260761845772685,N=10000,10000,3.043421745300293,0.22443524353345315,0.0016409410438153471,udd1,42583,0.2430077731,0.002078440831126764,Uses total age-cell frequency,0.7895057772348325
56,hours_0,0.23474470734744707,N=10000,10000,3.043421745300293,0.23674051974170815,0.0019958123942610817,udd1,42538,0.2469556632,0.002090890237522,Uses total age-cell frequency,0.9545275779882166
57,hours_0,0.2425979983319433,N=10000,10000,3.043421745300293,0.2510055214928914,0.008407523160948116,udd1,41686,0.2528186921,0.0021287392969114314,Uses total age-cell frequency,3.9495316186188303
58,hours_0,0.2672603457307491,N=10000,10000,3.043421745300293,0.26927556413915943,0.0020152184084103464,udd1,40096,0.2612729449,0.002194010481356121,Uses total age-cell frequency,0.9185090160393113
59,hours_0,0.28254001684919966,N=10000,10000,3.043421745300293,0.2902081159843096,0.0076680991351099625,udd1,38600,0.2727720207,0.0022669479460806653,Uses total age-cell frequency,3.3825651569844677
60,hours_0,0.3129973474801061,N=10000,10000,3.043421745300293,0.3144043068033142,0.0014069593232081123,udd1,36987,0.2872090194,0.002352640566524788,Uses total age-cell frequency,0.5980341167399011
61,hours_0,0.34014333083752274,N=10000,10000,3.043421745300293,0.3402643298469144,0.00012099900939166464,udd1,35482,0.3134828927,0.002462796677196493,Uses total age-cell frequency,0.04913073438502564
62,hours_0,0.372568093385214,N=10000,10000,3.043421745300293,0.37077506174389435,0.0017930316413196645,udd1,34081,0.3469088348,0.0025783295133971025,Uses total age-cell frequency,0.695423774192942
63,hours_0,0.40226876090750435,N=10000,10000,3.043421745300293,0.4011883858123605,0.0010803750951438595,udd1,32751,0.391560563,0.002697092662546113,Uses total age-cell frequency,0.40057025483283265
64,hours_0,0.43640375068946496,N=10000,10000,3.043421745300293,0.4376700800480642,0.0012663293585992164,udd1,31813,0.4625781913,0.002795425401590887,Uses total age-cell frequency,0.45300059085051725
65,hours_0,0.4799553322166388,N=10000,10000,3.043421745300293,0.48276856299269794,0.0028132307760591613,udd1,31074,0.5382635,0.0028281079857679146,Uses total age-cell frequency,0.9947395185107425
66,hours_0,0.5542618132489261,N=10000,10000,3.043421745300293,0.5544746134591065,0.0002128002101804416,udd1,30479,0.630270022,0.0027650647198966876,Uses total age-cell frequency,0.07696029993409795
67,hours_0,0.6329463156684676,N=10000,10000,3.043421745300293,0.6289257670015567,0.004020548666910928,udd1,30295,0.7056610002,0.0026184029670637456,Uses total age-cell frequency,1.535496528794243
68,hours_0,0.6779542269967305,N=10000,10000,3.043421745300293,0.6753114249259012,0.002642802070829231,udd1,29842,0.7714630387,0.002430646617745015,Uses total age-cell frequency,1.0872835448540188
69,hours_0,0.7096313912009512,N=10000,10000,3.043421745300293,0.7131882354479213,0.0035568442469701145,udd1,29091,0.8117287133,0.0022920187942329336,Uses total age-cell frequency,1.5518390407267486
70,hours_0,0.7539133600291227,N=10000,10000,3.043421745300293,0.7464687133641514,0.007444646664971244,udd1,28733,0.8390700588,0.0021678391339006327,Uses total age-cell frequency,3.4341324264111583
71,hours_0,0.774345614688004,N=10000,10000,3.043421745300293,0.7783241342219336,0.003978519533929581,udd1,28201,0.8636927769,0.0020431809215295735,Uses total age-cell frequency,1.9472184239813513
72,hours_0,0.8032786885245902,N=10000,10000,3.043421745300293,0.8068622819582864,0.003583593433696186,udd1,27755,0.8788686723,0.0019584821378455207,Uses total age-cell frequency,1.8297810148212081
73,hours_0,0.8301960784313726,N=10000,10000,3.043421745300293,0.8321995346556348,0.0020034562242622345,udd1,27615,0.8942241535,0.001850733683048359,Uses total age-cell frequency,1.0825199987511573
74,hours_0,0.8524104497710746,N=10000,10000,3.043421745300293,0.8543672622614688,0.001956812490394144,udd1,27541,0.9048327947,0.0017682268125482755,Uses total age-cell frequency,1.1066524251909113
75,hours_0,0.8740957150806901,N=10000,10000,3.043421745300293,0.8754282635172951,0.0013325484366050189,udd1,27329,0.914266896,0.0016935534234307523,Uses total age-cell frequency,0.7868357845515025
76,hours_0,0.8988585464528247,N=10000,10000,3.043421745300293,0.8924871100966346,0.0063714363561900855,udd1,25186,0.9237274676,0.0016725396125979082,Uses total age-cell frequency,3.8094382388310164
77,hours_0,0.905852417302799,N=10000,10000,3.043421745300293,0.9067834505774172,0.0009310332746181871,udd1,22442,0.9293289368,0.0017107035773687416,Uses total age-cell frequency,0.5442399764255027
78,hours_0,0.9149367878882473,N=10000,10000,3.043421745300293,0.919743425111498,0.004806637223250698,udd1,19392,0.9363655116,0.0017529021828404337,Uses total age-cell frequency,2.7421023661810597
79,hours_0,0.9265843621399177,N=10000,10000,3.043421745300293,0.9284831096195022,0.0018987474795845172,udd1,16359,0.9433339446,0.0018076562448152398,Uses total age-cell frequency,1.0503919011319476
80,hours_0,0.9329852045256745,N=10000,10000,3.043421745300293,0.9366642533778774,0.0036790488522029374,udd1,13610,0.9477590007,0.0019073290966787255,Uses total age-cell frequency,1.9289009215081692
81,hours_0,0.9385753931544866,N=10000,10000,3.043421745300293,0.9398269538160281,0.0012515606615415287,udd1,11239,0.9522199484,0.002012000615868298,Uses total age-cell frequency,0.6220478521083384
82,hours_0,0.9364515492401816,N=10000,10000,3.043421745300293,0.9360297954834523,0.0004217537567292595,udd1,7491,0.9607529035,0.002243570499407645,Uses total age-cell frequency,0.18798328683703605
83,hours_0,0.9339863713798978,N=10000,10000,3.043421745300293,0.9230820223205407,0.01090434905935711,udd1,4499,0.9615470104,0.0028667664920968786,Uses total age-cell frequency,3.8037102391904933
84,hours_0,0.20268705119295807,N=10000,10000,3.043421745300293,0.200807394375199,0.0018796568177590622,udd1,1982,0.9636730575,0.004202690968497574,Uses total age-cell frequency,0.4472507809516681
30,hours_1,0.0959,N=10000,10000,3.043421745300293,0.094294,0.0016059999999999963,udd1,2840,0.1183098592,0.006060511657851703,Uses total age-cell frequency,0.2649941276689636
