education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd1,50000,84,hours_3,0.20047843330042264,0.0020738160976924895,0.1969922711611882,0.20341280972417017,10,3.8755887269973757,2.595287322998047,20,5,5,1982,0.0005045409,0.0005044135870906817,Uses total age-cell frequency,4.111340675126711
udd1,50000,84,hours_2,0.2005816462595078,0.0022110101642695956,0.19764410094049725,0.20444756554307117,10,3.8755887269973757,2.595287322998047,20,5,5,1982,0.0015136226,0.00087322879595392,Uses total age-cell frequency,2.53199410568484
udd1,50000,73,hours_4,0.06187099376721126,0.0015955673241901814,0.05839435146443515,0.06419333768778576,10,3.8755887269973757,2.595287322998047,20,5,5,27615,0.020822017,0.0008592503039551779,Uses total age-cell frequency,1.856929601125184
udd1,50000,76,hours_4,0.036763897471075835,0.0011622008730890802,0.034165724063922966,0.038090854167266035,10,3.8755887269973757,2.595287322998047,20,5,5,25186,0.0106011276,0.0006453304190122713,Uses total age-cell frequency,1.8009392380230882
udd1,50000,53,hours_3,0.08504390186576664,0.002200350564545772,0.08201970443349754,0.08950928191106634,10,3.8755887269973757,2.595287322998047,20,5,5,41296,0.0668829911,0.001229339688759101,Uses total age-cell frequency,1.7898637656177943
udd1,100000,84,hours_3,0.20111490877106228,0.0022923218196284627,0.19813612369785585,0.20509542295264882,10,7.105684733390808,2.595287322998047,20,5,5,1982,0.0005045409,0.0005044135870906817,Uses total age-cell frequency,4.544528296412358
udd1,100000,84,hours_2,0.19814789841933123,0.0019405030902741396,0.19596354166666666,0.20238706965011444,10,7.105684733390808,2.595287322998047,20,5,5,1982,0.0015136226,0.00087322879595392,Uses total age-cell frequency,2.222216101055535
udd1,100000,75,hours_4,0.044275892738327494,0.0008616208366492204,0.04300058409590298,0.045697726259473916,10,7.105684733390808,2.595287322998047,20,5,5,27329,0.0127337261,0.0006782394270407979,Uses total age-cell frequency,1.270378574729174
udd1,100000,72,hours_4,0.07377535236479929,0.0011430232748247133,0.0722830494728305,0.0758130081300813,10,7.105684733390808,2.595287322998047,20,5,5,27755,0.0247162673,0.0009319364882404979,Uses total age-cell frequency,1.2265034036629991
udd1,100000,72,nowork_nowork,0.7094475287846601,0.002480470851830695,0.7049415650406504,0.7126697118852096,10,7.105684733390808,2.595287322998047,20,5,5,27755,0.856346256,0.00210529306804352,Approximate: uses total age-cell frequency,1.1782069154561143
