education,n_individuals,n_compared_cells,mean_sd_to_se,median_sd_to_se,p90_sd_to_se,max_sd_to_se,share_below_0_25_se,share_below_0_50_se,share_below_1_00_se,mean_simulation_sd,max_simulation_sd,mean_sim_time_seconds,solve_time_seconds,n_seeds,n_assets,n_experience,n_quad_points
udd1,10000,438,1.6500466523686446,1.5335640903202723,2.3869165558772676,11.16317003991018,0.0,0.0228310502283105,0.13013698630136986,0.0031436934514082445,0.01011845613035595,1.7042888164520265,2.595287322998047,10,20,5,5
udd1,25000,438,1.0966993794451079,1.05097568430276,1.5919354621538444,8.155638776658268,0.00228310502283105,0.08904109589041095,0.4406392694063927,0.0020846137718959416,0.005516308146775222,2.6188261985778807,2.595287322998047,10,20,5,5
udd1,50000,438,0.7662020549519147,0.7516538960002896,1.1309450647572452,4.111340675126711,0.02968036529680365,0.19406392694063926,0.819634703196347,0.0014390475434702657,0.0032083382990187766,3.8755887269973757,2.595287322998047,10,20,5,5
udd1,100000,438,0.5622811544413597,0.5403306305157962,0.8149334385078689,4.544528296412358,0.0684931506849315,0.4155251141552511,0.9611872146118722,0.0010695933113324904,0.002480470851830695,7.105684733390808,2.595287322998047,10,20,5,5
udd1,250000,438,0.3415363342037322,0.328663096070126,0.48818036487535205,2.8812572403305583,0.24885844748858446,0.9155251141552512,0.9954337899543378,0.0006509885025323603,0.001486208827793466,17.152195978164674,2.595287322998047,10,20,5,5
udd1,500000,438,0.24263814085514074,0.23544398211224998,0.3558636362918593,1.7640911538101822,0.5639269406392694,0.9840182648401826,0.9954337899543378,0.00045926977679445005,0.0010860477681425376,34.83719096183777,2.595287322998047,10,20,5,5
udd2,10000,437,1.0757462573458707,1.0364738017687332,1.581563748212183,4.049216506834953,0.011441647597254004,0.057208237986270026,0.4782608695652174,0.003295338833874471,0.010059109282342837,1.5923665046691895,2.383969783782959,10,20,5,5
udd2,25000,437,0.6666894300040077,0.6614077477023246,0.9630435897527673,3.1911878527310367,0.05263157894736842,0.2402745995423341,0.919908466819222,0.0020239208060586983,0.005516308146775222,2.508487606048584,2.383969783782959,10,20,5,5
udd2,50000,437,0.46120485856513643,0.4490768918799726,0.6887734659306144,1.2790708188785114,0.10068649885583524,0.6132723112128147,0.9954233409610984,0.0013884122630037096,0.0031734283721534247,3.8049922227859496,2.383969783782959,10,20,5,5
udd2,100000,437,0.35502901509304974,0.3477925058664297,0.5404938191287001,1.1225823005355404,0.2448512585812357,0.8558352402745996,0.9977116704805492,0.0010754837136366813,0.0023360778731563,7.141404366493225,2.383969783782959,10,20,5,5
udd2,250000,437,0.21867565763250124,0.20958697868806606,0.3291647672037578,0.5102734112690889,0.7093821510297483,0.9977116704805492,1.0,0.0006797369012375509,0.0015680051522386175,17.28797266483307,2.383969783782959,10,20,5,5
udd2,500000,437,0.1529916324661763,0.14567044769095375,0.23460356587946174,0.6254666868435774,0.9244851258581236,0.9977116704805492,1.0,0.0004627072580868525,0.0010860477681425376,35.37361869812012,2.383969783782959,10,20,5,5
udd3,10000,435,0.9528680289444856,0.8722120527860115,1.4587689756910507,4.280507400773725,0.006896551724137931,0.06206896551724138,0.6735632183908046,0.0032066086288509584,0.010059109282342837,1.6847780704498292,2.49468731880188,10,20,5,5
udd3,25000,435,0.6118542407134961,0.586340292925214,0.8999337448866265,1.6219371292402842,0.03218390804597701,0.32873563218390806,0.9264367816091954,0.002046638596637328,0.005516308146775222,2.566559362411499,2.49468731880188,10,20,5,5
udd3,50000,435,0.4140179707006572,0.3735870107777782,0.6469355110757484,1.1644308466601094,0.15632183908045977,0.7494252873563219,0.9908045977011494,0.001334879195690844,0.003029144531700657,3.8973573207855225,2.49468731880188,10,20,5,5
udd3,100000,435,0.29353772435884706,0.2661702425196321,0.46904119190490756,0.8291101529503416,0.42758620689655175,0.9402298850574713,1.0,0.0009575654420668718,0.002317085042278652,7.17368974685669,2.49468731880188,10,20,5,5
udd3,250000,435,0.18920434754557386,0.17861680592884446,0.28060488597256056,0.4086189170817703,0.8275862068965517,1.0,1.0,0.0006397471422200045,0.0014875385735482831,17.57396912574768,2.49468731880188,10,20,5,5
udd3,500000,435,0.13223042915713162,0.11980211039746926,0.21396151578214487,0.3468447347394595,0.9540229885057471,1.0,1.0,0.00044100801589594705,0.0010860477681425376,35.38734409809113,2.49468731880188,10,20,5,5
