education,n_individuals,moment,mean_sd_to_se,median_sd_to_se,p90_sd_to_se,max_sd_to_se,mean_simulation_sd
udd1,250000,hours_0,0.3246793525687507,0.321784037658297,0.4758473411457251,0.6084743465543201,0.0007747841780466801
udd1,250000,prob_work,0.3246793525687509,0.3217840376582947,0.4758473411457199,0.608474346554325,0.0007747841780466806
udd1,250000,work_work,0.31807544041375835,0.31236159108424655,0.47191644394979737,0.6908840212761896,0.0007864428408053709
udd1,250000,hours_2,0.3378945162352293,0.3192758858830621,0.45575730780901147,1.0101155077197854,0.00038878576376307134
udd1,500000,hours_4,0.28217312799631666,0.26656367964169103,0.42386233159523834,0.7399499615258055,0.0005717816382901473
udd1,500000,nowork_nowork,0.21408232037824973,0.1892493701499916,0.3545477029543255,0.5347643588187551,0.0005069253060202969
udd1,500000,prob_work,0.23291081055711046,0.2354439821122531,0.3530564132971724,0.4264257668395726,0.0005637039080387908
udd1,500000,hours_0,0.23291081055711074,0.23544398211224685,0.3530564132971643,0.4264257668395646,0.0005637039080387919
udd1,500000,hours_2,0.2562449882466132,0.24335339051606125,0.3512340708789885,1.2381472089080507,0.0002881491556491184
udd1,500000,hours_3,0.26862182563513404,0.25599499332634634,0.3485478202999559,1.7640911538101822,0.0002962126205807802
udd1,500000,hours_1,0.2408977546257372,0.26168109088726493,0.33872149988832334,0.44201273474941527,0.00036026995255957996
udd1,500000,work_work,0.21219070231731366,0.2002027349567865,0.32044117994027016,0.4365806628121534,0.0005234117251780952
udd2,10000,hours_1,1.1079726679624637,0.987450265286985,1.8310955836527507,2.171141984185551,0.0027628032300747595
udd2,10000,hours_2,1.2663837575570975,1.2324364546117592,1.8217175626009998,4.049216506834953,0.002414293100083809
udd2,10000,hours_3,1.1487809459446912,1.183057075962304,1.652435365974012,1.9233934040682124,0.002325447149087216
udd2,10000,work_work,1.035898937882067,1.0265085111083034,1.5855430158822688,1.960698874943387,0.0038911678339973777
udd2,10000,hours_4,1.104728413550748,1.09802345705326,1.4474629056096826,3.8987938055265783,0.0038742049617196505
udd2,10000,hours_0,1.0086372934248875,0.9849996353497842,1.4027943689406175,1.7327153570665397,0.003804397730516691
udd2,10000,prob_work,1.008637293424888,0.9849996353497812,1.4027943689406073,1.732715357066528,0.0038043977305166924
