n_individuals,n_compared_cells,mean_sd_to_se,median_sd_to_se,p90_sd_to_se,max_sd_to_se,share_below_0_25_se,share_below_0_50_se,share_below_1_00_se,mean_simulation_sd,max_simulation_sd,mean_sim_time_seconds,n_seeds
10000,1310,1.2269611761743993,1.110400760028035,1.9447723009408269,11.16317003991018,0.0061068702290076335,0.04732824427480916,0.4267175572519084,0.0032152136380445583,0.01011845613035595,1.6604777971903484,10
25000,1310,0.7922551174191446,0.7102867726919108,1.2785860868304169,8.155638776658268,0.02900763358778626,0.21908396946564884,0.7618320610687023,0.002051724391530656,0.005516308146775222,2.5646243890126548,10
50000,1310,0.5475120919974726,0.487267618987235,0.9175674043329863,4.111340675126711,0.09541984732824428,0.518320610687023,0.9351145038167938,0.0013874463340549396,0.0032083382990187766,3.8593127568562826,10
100000,1310,0.40390514147868456,0.3678163964421539,0.6529330702209406,4.544528296412358,0.24656488549618322,0.7366412213740458,0.9862595419847329,0.0010342141556786812,0.002480470851830695,7.1402596155802405,10
250000,1310,0.24996799080073462,0.2264035721220175,0.404640720925441,2.8812572403305583,0.5946564885496183,0.9709923664122138,0.9984732824427481,0.0006568241819966385,0.0015680051522386175,17.33804592291514,10
500000,1310,0.17607105783635338,0.1529543601305932,0.29152702297475624,1.7640911538101822,0.8137404580152672,0.9938931297709923,0.9984732824427481,0.0004543283502590832,0.0010860477681425376,35.199384586016336,10
