education,n_individuals,seed,sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,age,N,prob_work,work_work,nowork_nowork,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,avg_wage,avg_hours,avg_consumption,avg_experience,avg_labor_income,prob_work_se,prob_work_lower,prob_work_upper,work_work_se,work_work_lower,work_work_upper,nowork_nowork_se,nowork_nowork_lower,nowork_nowork_upper,hours_0_se,hours_0_lower,hours_0_upper,hours_1_se,hours_1_lower,hours_1_upper,hours_2_se,hours_2_lower,hours_2_upper,hours_3_se,hours_3_lower,hours_3_upper,hours_4_se,hours_4_lower,hours_4_upper,avg_wealth_se,avg_wealth_lower,avg_wealth_upper,avg_wage_se,avg_wage_lower,avg_wage_upper,avg_hours_se,avg_hours_lower,avg_hours_upper,avg_consumption_se,avg_consumption_lower,avg_consumption_upper,avg_experience_se,avg_experience_lower,avg_experience_upper,avg_labor_income_se,avg_labor_income_lower,avg_labor_income_upper
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,30,10000,0.6836,0.5685,0.1493,0.3164,0.0772,0.0723,0.0913,0.4428,0.5050470915,,1511.900234055003,0.5050470915,,,0.00465071005331444,0.6744846082955037,0.6927153917044963,0.004952855237133426,0.5587924037352185,0.5782075962647815,0.0035638393622608746,0.1423148748499687,0.1562851251500313,0.00465071005331444,0.3072846082955037,0.32551539170449634,0.0026690852365557753,0.07196859293635069,0.08243140706364932,0.0025898399564451857,0.06722391368536744,0.07737608631463257,0.002880352582584292,0.0856545089381348,0.09694549106186522,0.004967173844350528,0.433064339265073,0.45253566073492707,0.0,0.5050470915,0.5050470915,,,,5.872292964980856,1500.3905398436405,1523.4099282663656,0.0,0.5050470915,0.5050470915,,,,,,
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,31,10000,0.6931,0.5629,0.1862,0.3069,0.0672,0.0652,0.0892,0.4715,1.6050129390170917,0.0020048695789675135,1554.624152358967,1.2212567727255343,5.9481705555555555,2.0721919373114006,0.0046120753463056085,0.6840603323212411,0.702139667678759,0.004960278117202704,0.5531778548902827,0.5726221451097172,0.003892679796746709,0.17857034759837645,0.19382965240162356,0.004612075346305609,0.297860332321241,0.31593966767875903,0.0025036804907974976,0.0622927862380369,0.0721072137619631,0.0024687843162171943,0.06036118274021429,0.0700388172597857,0.0028503220870631446,0.08361336870935623,0.09478663129064377,0.004991870891759922,0.46171593305215053,0.4812840669478494,0.009352638114049865,1.5866817683135541,1.6233441097206294,2.995303442706026e-06,0.00199899878421981,0.002010740373715217,5.616597358387613,1543.6156215365272,1565.6326831814067,0.00608769485358884,1.2093248908125003,1.2331886546385684,0.0009494489444611855,5.946309635624411,5.9500314754867,0.01757894642231896,2.0377372023236555,2.1066466722991457
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,32,10000,0.7243,0.5889,0.1715,0.2757,0.0674,0.0649,0.0868,0.5052,2.0076146058154984,0.0020369794471168977,1571.5104238575177,1.3991137881504705,6.830675238095238,2.195734455020333,0.004468663222933677,0.71554142008305,0.7330585799169501,0.0049203332204231865,0.5792561468879706,0.5985438531120294,0.0037694528780712992,0.16411187235898025,0.17888812764101977,0.004468663222933677,0.26694142008305,0.28445857991695,0.002507134619441086,0.062486016145895475,0.07231398385410454,0.00246349325146224,0.060071553227134006,0.06972844677286599,0.002815417553401271,0.08128178159533352,0.09231821840466649,0.004999729592687989,0.4954005299983315,0.5149994700016685,0.010805722005415101,1.9864353906848848,2.028793820946112,3.022499943798131e-06,0.0020310553472270535,0.002042903547006742,5.54187278725337,1560.6483531945012,1582.3724945205342,0.006276843404339748,1.3868111750779646,1.4114164012229764,0.002760374469356442,6.8252649041353,6.836085572055176,0.01791770309653032,2.1606157569511333,2.2308531530895324
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,33,9999,0.7328732873287329,0.6105610561056105,0.15341534153415343,0.26712671267126714,0.0673067306730673,0.0658065806580658,0.08750875087508751,0.5122512251225122,2.30812933370338,0.0020766245733784892,1573.5603165938865,1.518716214781089,7.687308730873086,2.3641679284124275,0.004424811984817099,0.7242006558384914,0.7415459188189745,0.004876474473183466,0.601003166138171,0.6201189460730501,0.0036040541577851562,0.14635139538489453,0.16047928768341232,0.0044248119848171,0.25845408118102564,0.27579934416150864,0.0025056498749918463,0.062395656918083284,0.07221780442805133,0.0024795609051290013,0.060946641284012955,0.07066652003211864,0.0028259326830428655,0.0819699228163235,0.09304757893385153,0.004998748793173095,0.5024536774878929,0.5220487727571315,0.011848733421204448,2.2849058161978193,2.331352851208941,3.0998663487137274e-06,0.00207054883533501,0.0020827003114219683,5.525204959850365,1562.7309148725797,1584.3897183151932,0.006424452489115889,1.506124287902422,1.5313081416597563,0.004834953577312913,7.677832221861553,7.69678523988462,0.018133966146838865,2.328625354764623,2.399710502060232
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,34,9997,0.7589276783034911,0.6300890267080124,0.13834150245073523,0.24107232169650894,0.06531959587876363,0.06381914574372312,0.08702610783234971,0.5427628288486546,2.5122676338316383,0.0021033418688932346,1592.4805588506656,1.6207009488987711,8.526758768371252,2.4253819813007333,0.0042779827117066386,0.750542832188546,0.7673125244184361,0.004828527613744298,0.6206251125850736,0.6395529408309512,0.0034530986493474932,0.13157342909801414,0.14510957580345632,0.0042779827117066386,0.23268747558156394,0.24945716781145394,0.0024712601573548387,0.06047592597034814,0.0701632657871791,0.0024446715860776858,0.05902758943501085,0.06861070205243539,0.0028191560316891823,0.0815005620102389,0.09255165365446051,0.004982427262019232,0.5329972714150969,0.5525283862822122,0.012577141476291246,2.4876164365381075,2.536918831125169,3.1059627347640548e-06,0.002097254181933097,0.0021094295558533723,5.407131113062748,1581.8825818690625,1603.0785358322687,0.0065625905073324374,1.6078382715043995,1.6335636262931428,0.006931463057160177,8.513173100779218,8.540344435963286,0.018269803189765794,2.3895731670487925,2.461190795552674
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,35,9996,0.7640056022408963,0.6498599439775911,0.12685074029611845,0.23599439775910364,0.06872749099639856,0.0663265306122449,0.08573429371748699,0.5432172869147659,2.704042900869003,0.0021333013357975076,1584.404871022653,1.7035299687125187,9.370523209283714,2.584373411695937,0.004247036511050104,0.7556814106792381,0.7723297938025545,0.004771090550505175,0.6405086064986009,0.6592112814565813,0.0033287227514929864,0.1203264437031922,0.1333750368890447,0.004247036511050104,0.22767020619744543,0.24431858932076184,0.002530407770136489,0.06376789176693104,0.07368709022586609,0.0024890179346542273,0.061448055460322615,0.07120500576416719,0.002800273035161687,0.08024575856857008,0.0912228288664039,0.004982284202403762,0.5334520098780545,0.5529825639514773,0.013091791942856772,2.6783829886610033,2.7297028130770022,3.189902375511083e-06,0.002127049127141506,0.0021395535444535094,5.48339797089793,1573.657410999693,1595.152331045613,0.0066243173917814036,1.6905463066246271,1.7165136308004103,0.008945265940606911,9.352990488040124,9.388055930527305,0.018344449298489874,2.548418291070897,2.6203285323209773
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,36,9990,0.7714714714714714,0.6577577577577578,0.12222222222222222,0.22852852852852854,0.06636636636636636,0.06106106106106106,0.09239239239239239,0.5516516516516516,2.828085100329213,0.0021617185854927667,1595.1797067600883,1.771348074378774,10.208208208208209,2.616200110908217,0.004200948939192323,0.7632376115506545,0.7797053313922884,0.004746976171152954,0.648453684462298,0.6670618310532176,0.003277061823634751,0.1157991810478981,0.12864526339654633,0.004200948939192323,0.22029466860771157,0.2367623884493455,0.002490459710121185,0.06148506533452884,0.07124766739820389,0.002395620960858363,0.05636564397777867,0.06575647814434345,0.0028972396897495585,0.08671380260048325,0.09807098218430152,0.004975738001223785,0.541899205169253,0.5614040981340502,0.013390220533943844,2.801840268082683,2.854329932575743,3.215156472772502e-06,0.0021554168788061327,0.0021680202921794006,5.379635905626562,1584.6356203850603,1605.7237931351162,0.006704952077965998,1.7582063683059606,1.7844897804515873,0.010839187720130258,10.186963400276754,10.229453016139663,0.018482722014989707,2.579973975758837,2.6524262460575967
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,37,9985,0.7794692038057086,0.6665998998497746,0.1157736604907361,0.22053079619429145,0.06469704556835253,0.06479719579369053,0.0899349023535303,0.5600400600901352,2.931319776339685,0.0021938323533579472,1598.2204805344982,1.827131743584039,11.048651588493852,2.701518506361233,0.0041491589137990685,0.7713368523346624,0.7876015552767548,0.004717820904627126,0.6573529708767055,0.6758468288228437,0.0032019354441671847,0.10949786702016842,0.12204945396130379,0.004149158913799069,0.21239844472324526,0.22866314766533763,0.00246175224636673,0.059872011165473735,0.06952207997123132,0.0024635249854888133,0.05996868682213246,0.06962570476524861,0.0028630328333301065,0.0843233580002033,0.0955464467068573,0.004967548079215366,0.5503036658548731,0.5697764543253973,0.01364659380310634,2.904572452485597,2.9580671001937735,3.2555101238336583e-06,0.002187451553515233,0.0022002131532006613,5.355777327602556,1587.7231569723972,1608.7178040965991,0.006785576539775324,1.8138320135660795,1.8404314736019987,0.012643227172605255,11.023870863235546,11.073432313752159,0.018658159900412186,2.664948512956425,2.738088499766041
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,38,9981,0.7889990982867449,0.677587416090572,0.109107303877367,0.2110009017132552,0.06562468690511973,0.05931269411882577,0.08686504358280733,0.577196673679992,3.0165598828701836,0.002221811196025714,1610.2539682539682,1.889075779078759,11.89290369651055,2.7665072833743714,0.004084071919234975,0.7809943173250443,0.7970038792484454,0.0046784460982923805,0.6684176617379189,0.6867571704432252,0.0031207040423381445,0.10299072395438424,0.11522388380034976,0.004084071919234975,0.20299612075155465,0.21900568267495574,0.002478604718776506,0.06076662165631778,0.07048275215392168,0.0023643373313574556,0.054678592949365154,0.06394679528828638,0.0028190512896978178,0.08133970305499962,0.09239038411061505,0.004944747046274724,0.5675049694692935,0.5868883778906904,0.013720950481830505,2.989666819925796,3.0434529458145714,3.3487406011888325e-06,0.002215247664447384,0.0022283747276040443,5.311445813760871,1599.8435344589968,1620.6644020489396,0.006862955472628639,1.8756243863524067,1.902527171805111,0.014281457819725882,11.864912039183887,11.920895353837212,0.018764675372456668,2.729728519644356,2.8032860471043866
udd1,10000,101,3.0788278579711914,2.595287322998047,20,5,5,39,9977,0.803848852360429,0.6903878921519495,0.09762453643379773,0.196151147639571,0.06685376365640974,0.061942467675654006,0.09572015635962715,0.5793324646687381,3.1041263149327807,0.002261576692338409,1602.711970074813,1.9381419924997203,12.745175331834648,2.874701847533302,0.003975416524841237,0.7960570359717402,0.8116406687491179,0.004628663030674439,0.6813157126118277,0.6994600716920714,0.0029714822829678394,0.09180043115918077,0.1034486417084147,0.003975416524841237,0.18835933125088217,0.20394296402825984,0.00250056299045986,0.061952660195108415,0.07175486711771106,0.002413287163546447,0.05721242483510297,0.06667251051620504,0.00294546006475995,0.08994705463269764,0.10149325808655665,0.004942349409505089,0.5696454598261081,0.5890194695113681,0.01398962978498802,3.076706640554204,3.1315459893113573,3.321733384588054e-06,0.0022550660949046167,0.0022680872897722017,5.324525566207783,1592.2758999650457,1613.1480401845804,0.006914536991518598,1.9245894999963438,1.9516944850030968,0.015887957307419844,12.714034935512105,12.776315728157192,0.018980391048161807,2.837500281078905,2.9119034139876994
