	value
interest_rate	0.01
income_shock_mean	0.0005219532553517839
income_shock_std	0.14774217073051604
taste_shock_scale	0.8993760888436477
discount_factor	0.8670317363226403
rho	0.33525540153678024
gamma	[0.73525231 1.41305136 1.76688948 1.41499131]
beta0	-6.896104044649028708
beta1	0.02716829883591692640
beta2	-0.0001768093349215561945
kappa1	0.015973282293250853
kappa2	0.0017770886345081366
phi_entry	0.9897438955371012
phi_exit	0.9563144631654481
phi_switch	1.0237391344939937
alpha1	0.000417
alpha2	0.099277
b_scale	1.4414212010430716
xi	0.3460857749989469
eta_edu	0.43848
