seed,criterion_value
252624922,346.5846600250779
1281086751,335.690211232989
1103050397,343.59238966974425
2020337400,327.1693625668922
806823727,333.93775271592625
1186305531,329.25678182015105
397228962,330.00936154684655
1565101133,339.4851191011207
1011800401,326.9540885468707
1706098061,349.2104957194348
1955408499,329.28536496384686
83878767,330.5492715290764
1037835138,346.68590644662675
1341501196,343.828023817758
811977330,338.1908015947161
667265309,326.2954431689771
2035174039,347.8163299253871
471062273,338.798264846707
1263130017,335.42796916623325
1913908575,340.011311776097
1340257127,341.99171007384086
1901161996,333.5109130005467
1238974919,338.1724435201713
1481695918,335.6104333289557
524218619,330.2126189374921
1385670907,334.43496309543497
653929067,332.61689028252556
1736345649,340.7447767902824
1125823958,333.6259283154103
1537398330,336.2279751588112
608659818,345.90875942201393
519180521,333.6583618001463
1909499488,321.1060773416587
1075000949,323.77171252500045
1808810688,321.45434081417915
2048160957,326.3438622743954
189984575,337.5899715415833
760480672,341.07675320486857
162617927,332.3768214534204
1379373186,346.37905637854084
628361140,340.18017919994685
1000271092,343.9363335333479
34604401,332.09604859509943
169379622,332.83073147918356
472240551,332.3246707085547
1828976384,336.2236654422671
2077641960,331.7999788012344
1301296928,334.93709085654956
421341074,328.1317315982113
954642523,345.0654069936264
563715823,333.946382632848
1730089422,346.43656878043447
1602417689,343.1846449220804
1092521792,328.76482688326894
587947381,334.32304689886547
1440316727,332.8127482541728
1781826867,330.3633096940165
611505847,335.92856832313777
1353706170,338.42906111064576
1557690851,337.69886208928926
1770585637,345.6696177525488
121479913,338.5852769597604
378159430,344.9527163863431
1225953837,339.271232022329
1891051858,344.69817767155655
1394375926,341.24106275793264
1952700668,347.3793176637971
1277848186,333.1250375675954
1701377036,333.56205141582666
270300129,321.1417696474646
1793513300,339.9153593354483
1211571981,328.74476315773643
193376609,347.93086327712
138128732,337.19755420872747
351435071,335.65319424748645
492936988,347.43636023847864
1051178023,331.33384880909733
1658584068,343.15811714554997
1160832217,331.70934878401096
1069030337,346.1909043388741
1952095565,331.02118538030595
344414262,334.8829665216732
1106413010,338.5921691590547
1424321651,336.82319589210675
665969183,340.11197618576807
99265010,315.89657806073404
1600365364,331.82307245617795
835399873,330.00721656129986
1388185056,346.1818225615706
1650370854,333.8082853197133
2014109065,334.3146494854965
433574328,319.59989240500266
1672918318,335.03404841949595
882317198,337.84878228092805
1953768696,328.76884053171057
961599085,329.7111753518666
225975244,337.1033893538856
1989712413,347.6672418805543
580718036,327.074867314924
1627851860,337.7216427541344
