seed,criterion_value
1742835283,237.8926043209851
1722050959,233.97962538977683
766906125,234.4735429533115
155252609,232.81482017757415
2067552999,225.1063657885547
366791196,226.20852259065313
308691257,227.05276300259712
1801392399,234.38370185315657
161993747,237.11764609462728
150141604,234.68847112694007
130279264,224.26869458315232
654651901,237.81591571403146
1989379951,234.33051122221227
1103494343,236.06292706796128
1072898482,225.47784778155648
788217053,229.71985188761914
165068249,247.1504950853074
539224319,227.55502299420533
274479054,223.0347372544886
1166645650,237.5683045172689
240444747,233.29580237943014
992492217,231.98516711106075
1905012689,239.437206083201
1131917326,243.09128741140404
1090383119,228.78718448136874
170301888,232.57618186471163
1176958504,222.85604690295924
499432384,235.72599013083894
755606552,226.500542330739
1375730415,226.75190374407893
965809326,237.20921218561963
1343278387,225.62118152562175
900494832,227.79961683699892
154973854,229.24878641253076
709722985,232.76091827700122
1550158040,224.67730706716742
1259053746,231.44621020000844
1470436850,229.38755399594896
2086354031,231.06343634238698
2145723949,233.5762827780271
2128957751,228.44838687767864
690864651,224.99071723978957
313572115,229.6729897645596
1820337406,234.80619385879214
995699411,232.20419088406533
790385168,241.12110771272222
1037274110,233.98083312875528
578163825,231.02339274566464
1616045729,238.45873370877024
770878766,231.65312164837874
458995905,234.02475056730765
991572940,232.74069828354905
1363267594,232.2171672008026
67950731,230.7417001135766
712617437,230.49515396496736
592867065,227.7330521974618
1198689919,237.6927339849905
526937656,230.38955787526174
768165070,228.9443850557981
636017419,234.61849576917476
1527379450,238.03314491228377
1482386991,227.15504289225933
1216407844,227.00692152721044
561702969,231.9122017206117
478578332,231.13454616760836
1929326839,220.58193076403012
1062470545,228.76814344286265
1723529996,226.63088663586913
1212908562,238.1271809663115
421027705,243.40874207233512
587604968,235.11667076586676
1609034379,239.6601312587259
2122486984,238.6239395191407
1871921485,238.70823608333876
1107831222,228.58785326287244
1884136510,237.20902127529857
799988803,242.25816997236495
348015789,228.6136954546209
708201988,227.41902749660082
516895823,228.2011633431468
1320538239,232.1667838630757
351258598,243.05930903051555
1285648111,236.16815615661397
296793467,230.87567840424572
918557953,221.8604874865881
1676512048,239.31173400957633
1961518705,238.65797588961135
1632704672,236.3352389738243
1025918693,230.1733421084084
1990555706,225.1997292136207
412069284,228.94376644110238
802641453,223.384419878672
487322890,230.54861125828606
769638517,233.80775198577405
745752663,227.03274996319962
1514579707,235.28501041587595
979428027,233.091571140259
2073628696,238.59768297541646
1016674714,235.11422820605515
1243954964,223.64905555653894
