age,moment,sim_value,label,n_individuals,sim_time,benchmark_value,simulation_error
30,prob_work,0.6928,N=10000,10000,3.043421745300293,0.683829,0.008970999999999951
31,prob_work,0.7064,N=10000,10000,3.043421745300293,0.696873,0.009527000000000063
32,prob_work,0.7237723772377238,N=10000,10000,3.043421745300293,0.7108331199897595,0.012939257247964298
33,prob_work,0.7347734773477348,N=10000,10000,3.043421745300293,0.7212743720402254,0.013499105307509418
34,prob_work,0.7307730773077308,N=10000,10000,3.043421745300293,0.7294789014869237,0.001294175820807042
35,prob_work,0.7324197259177754,N=10000,10000,3.043421745300293,0.7369026608878697,0.004482934970094332
36,prob_work,0.745221655158611,N=10000,10000,3.043421745300293,0.7436603621392094,0.001561293019401666
37,prob_work,0.7568811930737664,N=10000,10000,3.043421745300293,0.7500132646840052,0.006867928389761246
38,prob_work,0.7575575575575576,N=10000,10000,3.043421745300293,0.7552311333179101,0.002326424239647462
39,prob_work,0.7606649309032646,N=10000,10000,3.043421745300293,0.7600280956011948,0.0006368353020698159
40,prob_work,0.767157599438934,N=10000,10000,3.043421745300293,0.7655733332798598,0.0015842661590742546
41,prob_work,0.7624586383234734,N=10000,10000,3.043421745300293,0.7716119801621582,0.00915334183868477
42,prob_work,0.773352061803953,N=10000,10000,3.043421745300293,0.7763678719537298,0.0030158101497768097
43,prob_work,0.7853555644837285,N=10000,10000,3.043421745300293,0.7807135333327972,0.004642031150931203
44,prob_work,0.7889447236180904,N=10000,10000,3.043421745300293,0.784895719608658,0.004049004009432422
45,prob_work,0.7777889548335177,N=10000,10000,3.043421745300293,0.7889726351041612,0.011183680270643426
46,prob_work,0.7903696988012491,N=10000,10000,3.043421745300293,0.7924560472488291,0.0020863484475800442
47,prob_work,0.7933225741375832,N=10000,10000,3.043421745300293,0.7966887878999178,0.003366213762334591
48,prob_work,0.8024666397088557,N=10000,10000,3.043421745300293,0.799972259007723,0.0024943807011327257
49,prob_work,0.8001013171225937,N=10000,10000,3.043421745300293,0.8029248249974638,0.002823507874870068
50,prob_work,0.8105006600995227,N=10000,10000,3.043421745300293,0.8042378775430519,0.006262782556470836
51,prob_work,0.8069836098951441,N=10000,10000,3.043421745300293,0.8025957739657941,0.0043878359293499924
52,prob_work,0.8066789215686274,N=10000,10000,3.043421745300293,0.7987324336843784,0.00794648788424901
53,prob_work,0.7922171018945212,N=10000,10000,3.043421745300293,0.7934820861510491,0.001264984256527879
54,prob_work,0.7891002570694088,N=10000,10000,3.043421745300293,0.784674223763665,0.0044260333057437595
55,prob_work,0.7739238154227315,N=10000,10000,3.043421745300293,0.7755647564665469,0.0016409410438154026
56,prob_work,0.7652552926525529,N=10000,10000,3.043421745300293,0.7632594802582918,0.001995812394261054
57,prob_work,0.7574020016680567,N=10000,10000,3.043421745300293,0.7489944785071087,0.00840752316094806
58,prob_work,0.7327396542692509,N=10000,10000,3.043421745300293,0.7307244358608406,0.0020152184084103464
59,prob_work,0.7174599831508003,N=10000,10000,3.043421745300293,0.7097918840156904,0.007668099135109907
60,prob_work,0.6870026525198939,N=10000,10000,3.043421745300293,0.6855956931966858,0.0014069593232081123
61,prob_work,0.6598566691624773,N=10000,10000,3.043421745300293,0.6597356701530855,0.00012099900939177566
62,prob_work,0.627431906614786,N=10000,10000,3.043421745300293,0.6292249382561057,0.00179303164131972
63,prob_work,0.5977312390924956,N=10000,10000,3.043421745300293,0.5988116141876395,0.001080375095143915
64,prob_work,0.563596249310535,N=10000,10000,3.043421745300293,0.5623299199519358,0.0012663293585991608
65,prob_work,0.5200446677833612,N=10000,10000,3.043421745300293,0.517231437007302,0.002813230776059217
66,prob_work,0.4457381867510739,N=10000,10000,3.043421745300293,0.44552538654089346,0.0002128002101804416
67,prob_work,0.36705368433153235,N=10000,10000,3.043421745300293,0.37107423299844333,0.0040205486669109836
68,prob_work,0.3220457730032695,N=10000,10000,3.043421745300293,0.32468857507409876,0.0026428020708292865
69,prob_work,0.29036860879904874,N=10000,10000,3.043421745300293,0.28681176455207874,0.0035568442469700035
70,prob_work,0.24608663997087732,N=10000,10000,3.043421745300293,0.2535312866358486,0.0074446466649712995
71,prob_work,0.22565438531199603,N=10000,10000,3.043421745300293,0.2216758657780664,0.003978519533929636
72,prob_work,0.19672131147540983,N=10000,10000,3.043421745300293,0.19313771804171365,0.003583593433696186
73,prob_work,0.16980392156862745,N=10000,10000,3.043421745300293,0.16780046534436527,0.002003456224262179
74,prob_work,0.1475895502289254,N=10000,10000,3.043421745300293,0.14563273773853128,0.0019568124903941164
75,prob_work,0.12590428491930997,N=10000,10000,3.043421745300293,0.12457173648270489,0.0013325484366050744
76,prob_work,0.10114145354717527,N=10000,10000,3.043421745300293,0.10751288990336536,0.0063714363561900855
77,prob_work,0.09414758269720101,N=10000,10000,3.043421745300293,0.0932165494225829,0.0009310332746181177
78,prob_work,0.08506321211175277,N=10000,10000,3.043421745300293,0.080256574888502,0.004806637223250768
79,prob_work,0.0734156378600823,N=10000,10000,3.043421745300293,0.07151689038049786,0.0018987474795844478
80,prob_work,0.0670147954743255,N=10000,10000,3.043421745300293,0.06333574662212259,0.0036790488522029097
81,prob_work,0.061424606845513416,N=10000,10000,3.043421745300293,0.0601730461839719,0.0012515606615415148
82,prob_work,0.06354845075981844,N=10000,10000,3.043421745300293,0.06397020451654764,0.000421753756729204
83,prob_work,0.06601362862010221,N=10000,10000,3.043421745300293,0.07691797767945924,0.010904349059357027
84,prob_work,0.797312948807042,N=10000,10000,3.043421745300293,0.799192605624801,0.0018796568177590345
30,hours_0,0.3072,N=10000,10000,3.043421745300293,0.316171,0.008971000000000007
31,hours_0,0.2936,N=10000,10000,3.043421745300293,0.303127,0.009526999999999952
32,hours_0,0.27622762276227625,N=10000,10000,3.043421745300293,0.2891668800102405,0.012939257247964242
33,hours_0,0.2652265226522652,N=10000,10000,3.043421745300293,0.27872562795977457,0.013499105307509363
34,hours_0,0.2692269226922692,N=10000,10000,3.043421745300293,0.2705210985130762,0.0012941758208069865
35,hours_0,0.2675802740822247,N=10000,10000,3.043421745300293,0.2630973391121303,0.004482934970094388
36,hours_0,0.25477834484138895,N=10000,10000,3.043421745300293,0.25633963786079067,0.0015612930194017216
37,hours_0,0.2431188069262336,N=10000,10000,3.043421745300293,0.2499867353159948,0.006867928389761191
38,hours_0,0.24244244244244245,N=10000,10000,3.043421745300293,0.24476886668208991,0.002326424239647462
39,hours_0,0.23933506909673544,N=10000,10000,3.043421745300293,0.23997190439880522,0.0006368353020697881
40,hours_0,0.23284240056106603,N=10000,10000,3.043421745300293,0.2344266667201402,0.0015842661590741713
41,hours_0,0.23754136167652662,N=10000,10000,3.043421745300293,0.2283880198378418,0.009153341838684825
42,hours_0,0.22664793819604695,N=10000,10000,3.043421745300293,0.22363212804627017,0.003015810149776782
43,hours_0,0.2146444355162716,N=10000,10000,3.043421745300293,0.21928646666720272,0.00464203115093112
44,hours_0,0.21105527638190955,N=10000,10000,3.043421745300293,0.21510428039134202,0.0040490040094324775
45,hours_0,0.22221104516648224,N=10000,10000,3.043421745300293,0.2110273648958389,0.011183680270643342
46,hours_0,0.20963030119875087,N=10000,10000,3.043421745300293,0.20754395275117082,0.0020863484475800442
47,hours_0,0.20667742586241677,N=10000,10000,3.043421745300293,0.20331121210008216,0.003366213762334619
48,hours_0,0.19753336029114435,N=10000,10000,3.043421745300293,0.20002774099227708,0.0024943807011327257
49,hours_0,0.19989868287740628,N=10000,10000,3.043421745300293,0.19707517500253627,0.0028235078748700126
50,hours_0,0.1894993399004773,N=10000,10000,3.043421745300293,0.1957621224569481,0.006262782556470808
51,hours_0,0.19301639010485594,N=10000,10000,3.043421745300293,0.1974042260342059,0.004387835929349965
52,hours_0,0.19332107843137256,N=10000,10000,3.043421745300293,0.20126756631562157,0.00794648788424901
53,hours_0,0.20778289810547876,N=10000,10000,3.043421745300293,0.20651791384895093,0.0012649842565278235
54,hours_0,0.21089974293059127,N=10000,10000,3.043421745300293,0.21532577623633503,0.0044260333057437595
55,hours_0,0.2260761845772685,N=10000,10000,3.043421745300293,0.22443524353345315,0.0016409410438153471
56,hours_0,0.23474470734744707,N=10000,10000,3.043421745300293,0.23674051974170815,0.0019958123942610817
57,hours_0,0.2425979983319433,N=10000,10000,3.043421745300293,0.2510055214928914,0.008407523160948116
58,hours_0,0.2672603457307491,N=10000,10000,3.043421745300293,0.26927556413915943,0.0020152184084103464
59,hours_0,0.28254001684919966,N=10000,10000,3.043421745300293,0.2902081159843096,0.0076680991351099625
60,hours_0,0.3129973474801061,N=10000,10000,3.043421745300293,0.3144043068033142,0.0014069593232081123
61,hours_0,0.34014333083752274,N=10000,10000,3.043421745300293,0.3402643298469144,0.00012099900939166464
62,hours_0,0.372568093385214,N=10000,10000,3.043421745300293,0.37077506174389435,0.0017930316413196645
63,hours_0,0.40226876090750435,N=10000,10000,3.043421745300293,0.4011883858123605,0.0010803750951438595
64,hours_0,0.43640375068946496,N=10000,10000,3.043421745300293,0.4376700800480642,0.0012663293585992164
65,hours_0,0.4799553322166388,N=10000,10000,3.043421745300293,0.48276856299269794,0.0028132307760591613
66,hours_0,0.5542618132489261,N=10000,10000,3.043421745300293,0.5544746134591065,0.0002128002101804416
67,hours_0,0.6329463156684676,N=10000,10000,3.043421745300293,0.6289257670015567,0.004020548666910928
68,hours_0,0.6779542269967305,N=10000,10000,3.043421745300293,0.6753114249259012,0.002642802070829231
69,hours_0,0.7096313912009512,N=10000,10000,3.043421745300293,0.7131882354479213,0.0035568442469701145
70,hours_0,0.7539133600291227,N=10000,10000,3.043421745300293,0.7464687133641514,0.007444646664971244
71,hours_0,0.774345614688004,N=10000,10000,3.043421745300293,0.7783241342219336,0.003978519533929581
72,hours_0,0.8032786885245902,N=10000,10000,3.043421745300293,0.8068622819582864,0.003583593433696186
73,hours_0,0.8301960784313726,N=10000,10000,3.043421745300293,0.8321995346556348,0.0020034562242622345
74,hours_0,0.8524104497710746,N=10000,10000,3.043421745300293,0.8543672622614688,0.001956812490394144
75,hours_0,0.8740957150806901,N=10000,10000,3.043421745300293,0.8754282635172951,0.0013325484366050189
76,hours_0,0.8988585464528247,N=10000,10000,3.043421745300293,0.8924871100966346,0.0063714363561900855
77,hours_0,0.905852417302799,N=10000,10000,3.043421745300293,0.9067834505774172,0.0009310332746181871
78,hours_0,0.9149367878882473,N=10000,10000,3.043421745300293,0.919743425111498,0.004806637223250698
79,hours_0,0.9265843621399177,N=10000,10000,3.043421745300293,0.9284831096195022,0.0018987474795845172
80,hours_0,0.9329852045256745,N=10000,10000,3.043421745300293,0.9366642533778774,0.0036790488522029374
81,hours_0,0.9385753931544866,N=10000,10000,3.043421745300293,0.9398269538160281,0.0012515606615415287
82,hours_0,0.9364515492401816,N=10000,10000,3.043421745300293,0.9360297954834523,0.0004217537567292595
83,hours_0,0.9339863713798978,N=10000,10000,3.043421745300293,0.9230820223205407,0.01090434905935711
84,hours_0,0.20268705119295807,N=10000,10000,3.043421745300293,0.200807394375199,0.0018796568177590622
30,hours_1,0.0959,N=10000,10000,3.043421745300293,0.094294,0.0016059999999999963
31,hours_1,0.0859,N=10000,10000,3.043421745300293,0.085412,0.0004880000000000023
32,hours_1,0.08720872087208721,N=10000,10000,3.043421745300293,0.08316299182360753,0.0040457290484796765
33,hours_1,0.08340834083408341,N=10000,10000,3.043421745300293,0.08218109444775044,0.001227246386332967
34,hours_1,0.07870787078707871,N=10000,10000,3.043421745300293,0.08203337951316125,0.003325508726082546
35,hours_1,0.08512553766129839,N=10000,10000,3.043421745300293,0.08153246171146836,0.003593075949830035
36,hours_1,0.07885519863904733,N=10000,10000,3.043421745300293,0.08040699379221379,0.0015517951531664603
37,hours_1,0.0792713442097888,N=10000,10000,3.043421745300293,0.07965317606590495,0.00038183185611614934
38,hours_1,0.08028028028028028,N=10000,10000,3.043421745300293,0.07878873462307698,0.0014915456572033026
39,hours_1,0.07941117564590426,N=10000,10000,3.043421745300293,0.07868070912335512,0.0007304665225491419
40,hours_1,0.08365895200881675,N=10000,10000,3.043421745300293,0.07756136590139345,0.0060975861074232945
41,hours_1,0.07740900431164144,N=10000,10000,3.043421745300293,0.07751727985182821,0.00010827554018677521
