education,age,n_data,moment,data_value,data_se,denominator_note
udd2,40,14575,prob_work,0.9162950257,0.002293976773917997,Uses total age-cell frequency
udd2,41,14728,prob_work,0.9144486692,0.0023047358812311766,Uses total age-cell frequency
udd2,42,15004,prob_work,0.9142228739,0.0022861686212258562,Uses total age-cell frequency
udd2,43,15152,prob_work,0.9114968321,0.0023073953287175036,Uses total age-cell frequency
udd2,44,15237,prob_work,0.9129093654,0.0022842825651897933,Uses total age-cell frequency
udd2,45,15257,prob_work,0.9136134233,0.0022744154400405696,Uses total age-cell frequency
udd2,46,15375,prob_work,0.9116097561,0.002289280906492785,Uses total age-cell frequency
udd2,47,15578,prob_work,0.9089741944,0.00230463521045287,Uses total age-cell frequency
udd2,48,15708,prob_work,0.9064171123,0.0023238164557793342,Uses total age-cell frequency
udd2,49,15636,prob_work,0.9031721668,0.0023649531868984407,Uses total age-cell frequency
udd2,50,15191,prob_work,0.8943453361,0.002494042086304621,Uses total age-cell frequency
udd2,51,14835,prob_work,0.8928210313,0.0025397631497149713,Uses total age-cell frequency
udd2,52,14402,prob_work,0.8886960144,0.0026207196854826074,Uses total age-cell frequency
udd2,53,14078,prob_work,0.8820855235,0.0027181187756138052,Uses total age-cell frequency
udd2,54,13964,prob_work,0.8815525637,0.0027345257600689156,Uses total age-cell frequency
udd2,55,13816,prob_work,0.8784742328,0.0027797615099664436,Uses total age-cell frequency
udd2,56,13539,prob_work,0.8712608021,0.002878300897941932,Uses total age-cell frequency
udd2,57,13004,prob_work,0.8638880345,0.003007034436416354,Uses total age-cell frequency
udd2,58,12185,prob_work,0.86056627,0.0031380749771198944,Uses total age-cell frequency
udd2,59,11532,prob_work,0.8474679154,0.0033480344533207062,Uses total age-cell frequency
udd2,60,11168,prob_work,0.8347063037,0.0035148539979271646,Uses total age-cell frequency
udd2,61,10557,prob_work,0.8140570238,0.003786579175335343,Uses total age-cell frequency
udd2,62,10144,prob_work,0.7891364353,0.004050160181311748,Uses total age-cell frequency
udd2,63,9703,prob_work,0.751932392,0.004384513491278758,Uses total age-cell frequency
udd2,64,9220,prob_work,0.68329718,0.0048446824820465775,Uses total age-cell frequency
udd2,65,8973,prob_work,0.6166276608,0.0051327847833140166,Uses total age-cell frequency
udd2,66,8725,prob_work,0.5220630372,0.005347663414875498,Uses total age-cell frequency
udd2,67,8583,prob_work,0.4249097052,0.00533576616014696,Uses total age-cell frequency
udd2,68,8433,prob_work,0.3348748962,0.005139275692341065,Uses total age-cell frequency
udd2,69,8358,prob_work,0.2818856186,0.0049213254758894084,Uses total age-cell frequency
udd2,70,8294,prob_work,0.2442729684,0.004717785245841577,Uses total age-cell frequency
udd2,71,8097,prob_work,0.2152649129,0.004567579234506994,Uses total age-cell frequency
udd2,72,8065,prob_work,0.1859888407,0.004332678231937954,Uses total age-cell frequency
udd2,73,8060,prob_work,0.1667493797,0.004151952873495818,Uses total age-cell frequency
