education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd1,10000,33,prob_work,0.7402914320966468,0.005798687406706123,0.7328732873287329,0.7494,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.7294733399,0.00463875463007704,Uses total age-cell frequency,1.250052626001867
udd1,10000,33,work_work,0.6135774176615189,0.005017273166297539,0.6068606860686069,0.6238,10,1.7042888164520265,2.595287322998047,20,5,5,9171,0.6692446931,0.0049128955598924055,Approximate: uses total age-cell frequency,1.021245639182165
udd1,10000,34,hours_0,0.2488750961046561,0.00647985517789569,0.24107232169650894,0.26360544217687076,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.2771019678,0.004232894306220716,Uses total age-cell frequency,1.5308332098849742
udd1,10000,34,hours_1,0.06721484732910796,0.0028308877062124633,0.06220622062206221,0.07081416283256652,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.0989266547,0.002823682298947707,Uses total age-cell frequency,1.0025517769004826
udd1,10000,34,hours_2,0.06407396103720793,0.002336518746762611,0.06021806541962589,0.06721344268853771,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.081216458,0.002583495589090335,Uses total age-cell frequency,0.9044020654145238
udd1,10000,34,hours_3,0.08841952767083763,0.0031501776292537182,0.08450845084508452,0.09412823847154146,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.0994633274,0.0028304878291297345,Uses total age-cell frequency,1.1129451244530792
udd1,10000,34,hours_4,0.5314165678581904,0.007256046400227444,0.5199079631852741,0.5427628288486546,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.4432915921,0.004698267450558872,Uses total age-cell frequency,1.5444089713037337
udd1,10000,34,nowork_nowork,0.13808076500794336,0.004672253023209944,0.1298,0.14595838335334133,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.2392418033,0.004034790150820682,Approximate: uses total age-cell frequency,1.1579915803699483
udd1,10000,34,prob_work,0.7511249038953439,0.006479855177895719,0.7363945578231292,0.7589276783034911,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.7228980322,0.004232894306220716,Uses total age-cell frequency,1.5308332098849808
udd1,10000,34,work_work,0.6294982911791407,0.005063605743165284,0.6182472989195679,0.6349269853970794,10,1.7042888164520265,2.595287322998047,20,5,5,11180,0.6661116803,0.00446018873057357,Approximate: uses total age-cell frequency,1.1352895693528458
udd1,10000,35,hours_0,0.23560890248993194,0.004809194561471681,0.23096929078723616,0.2460984393757503,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.2811165345,0.003925888602819014,Uses total age-cell frequency,1.2249951661945788
udd1,10000,35,hours_1,0.06925916005373486,0.0021992365820717183,0.06561968590577173,0.07302921168467387,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.0928920073,0.0025350364040468225,Uses total age-cell frequency,0.8675364892436859
udd1,10000,35,hours_2,0.06318663386299453,0.002746276938913154,0.057523009203681474,0.0666266506602641,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.0790115924,0.00235579783838509,Uses total age-cell frequency,1.1657523808561348
udd1,10000,35,hours_3,0.08892735899881661,0.002522077683889378,0.08453381352541016,0.09202760828248474,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.1045607077,0.002672193236843696,Uses total age-cell frequency,0.9438230922507576
udd1,10000,35,hours_4,0.5430179445945221,0.005241067205576448,0.5382152861144458,0.5552665799739922,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.442419158,0.0043374692990578384,Uses total age-cell frequency,1.2083237584447881
udd1,10000,35,nowork_nowork,0.12850383782535474,0.003932607903997277,0.12484993997599039,0.13835534213685474,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.2414330218,0.0037373247017370875,Approximate: uses total age-cell frequency,1.0522521369816817
udd1,10000,35,prob_work,0.7643910975100681,0.004809194561471674,0.7539015606242497,0.7690307092127638,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.7188834655,0.003925888602819013,Uses total age-cell frequency,1.2249951661945773
udd1,10000,35,work_work,0.6440102338909609,0.007519686525809078,0.6286514605842337,0.6534960488146444,10,1.7042888164520265,2.595287322998047,20,5,5,13112,0.6699896158,0.004106420018226304,Approximate: uses total age-cell frequency,1.8312024810986274
udd1,10000,36,hours_0,0.22672816312713073,0.004719596561315482,0.219187675070028,0.23491142027825043,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.2521184047,0.0032636796977581362,Uses total age-cell frequency,1.4460967369308435
udd1,10000,36,hours_1,0.0673897476267023,0.0017575806666029036,0.06515864277850066,0.07064945461823276,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.0856400407,0.0021032256234948215,Uses total age-cell frequency,0.835659592089993
udd1,10000,36,hours_2,0.06434725857528925,0.0037491483323087594,0.058240768537976585,0.07044226535921554,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.07631906,0.001995567071818575,Uses total age-cell frequency,1.87873832218134
udd1,10000,36,hours_3,0.09002663888813435,0.0014394736165929541,0.08817053642914331,0.09239239239239239,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.0982939781,0.002237611950357781,Uses total age-cell frequency,0.6433079767753255
udd1,10000,36,hours_4,0.5515081917827434,0.005380596264214565,0.5402241344806884,0.5584467574059248,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.4876285166,0.003756867296173463,Uses total age-cell frequency,1.4322029073784273
udd1,10000,36,nowork_nowork,0.11886806463786352,0.003935230192147729,0.11429143314651721,0.12677606563938362,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.2296184898,0.00316115059146382,Approximate: uses total age-cell frequency,1.244872738038544
udd1,10000,36,prob_work,0.7732718368728693,0.0047195965613154745,0.7650885797217496,0.780812324929972,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.7478815953,0.0032636796977581362,Uses total age-cell frequency,1.446096736930841
udd1,10000,36,work_work,0.6565254216252512,0.005352742969600473,0.6488839955960364,0.6655662264905963,10,1.7042888164520265,2.595287322998047,20,5,5,17702,0.6784866234,0.0035104193512207438,Approximate: uses total age-cell frequency,1.5248158222860364
udd1,10000,37,hours_0,0.21516417553378392,0.004144611072560851,0.20568511660494446,0.22053079619429145,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.2366719421,0.0028581533632124284,Uses total age-cell frequency,1.4501010078418273
udd1,10000,37,hours_1,0.0658977027793375,0.0011325704196651165,0.06377014716187807,0.0678542834267414,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.0814379381,0.0018391797011797866,Uses total age-cell frequency,0.615801935470798
udd1,10000,37,hours_2,0.06439593855438627,0.0029376413636114864,0.060678882547311505,0.06907598358194013,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.0699525209,0.001715184222470771,Uses total age-cell frequency,1.7127264378515163
udd1,10000,37,hours_3,0.09194833106182895,0.003241528367883449,0.08938044239815834,0.09847878302642114,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.0951842641,0.001973418425832658,Uses total age-cell frequency,1.6425955719531344
udd1,10000,37,hours_4,0.5625938520706634,0.0057236465253843296,0.5535428342674139,0.5746171554398959,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.5167533348,0.0033603352287813176,Uses total age-cell frequency,1.703296289120567
udd1,10000,37,nowork_nowork,0.11116145571025526,0.003448442877582541,0.10509458512661395,0.1157736604907361,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.2094530321,0.0027362998878739083,Approximate: uses total age-cell frequency,1.260257654091403
udd1,10000,37,prob_work,0.7848358244662161,0.004144611072560812,0.7794692038057086,0.7943148833950555,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.7633280579,0.0028581533632124284,Uses total age-cell frequency,1.4501010078418137
udd1,10000,37,work_work,0.6692493929902753,0.0053653002153284226,0.6619605487133273,0.6803122810529476,10,1.7042888164520265,2.595287322998047,20,5,5,22115,0.7102259215,0.0030505950015394375,Approximate: uses total age-cell frequency,1.758771719163279
udd1,10000,38,hours_0,0.20736184339455926,0.004172174064820413,0.19821803984382821,0.2116174261392088,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.2224802427,0.0025453877161882243,Uses total age-cell frequency,1.639111416420418
udd1,10000,38,hours_1,0.06732455479715319,0.002032452099811479,0.06379569354031046,0.06991185897435898,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.0749840818,0.0016118018295973031,Uses total age-cell frequency,1.260981382754276
udd1,10000,38,hours_2,0.06452983563042936,0.002191609684305125,0.05931269411882577,0.0668735609170087,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.0680175287,0.0015408728347377878,Uses total age-cell frequency,1.4223170367450042
udd1,10000,38,hours_3,0.08923811987167014,0.002535328620461092,0.08563701923076923,0.09349349349349349,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.0934866474,0.0017816172041403198,Uses total age-cell frequency,1.4230490222979517
udd1,10000,38,hours_4,0.5715456463061881,0.004646460519236869,0.5643852089387714,0.5780358394233657,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.5410314993,0.003049686645988458,Uses total age-cell frequency,1.5235862101927091
udd1,10000,38,nowork_nowork,0.10355104991108947,0.003720685650029361,0.09570527580338373,0.109107303877367,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.1965455063,0.0024320063456893955,Approximate: uses total age-cell frequency,1.5298831997803306
udd1,10000,38,prob_work,0.7926381566054408,0.0041721740648204214,0.7883825738607911,0.8017819601561718,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.7775197573,0.0025453877161882243,Uses total age-cell frequency,1.6391114164204212
udd1,10000,38,work_work,0.6810052514450678,0.005082518739176577,0.6746445023032245,0.6917609370307338,10,1.7042888164520265,2.595287322998047,20,5,5,26699,0.7299515991,0.0027171920762399143,Approximate: uses total age-cell frequency,1.8705040337854335
udd1,10000,39,hours_0,0.1988758449980295,0.0031858330467250157,0.19561298076923078,0.206274431191741,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.2131039047,0.0022988599768867745,Uses total age-cell frequency,1.3858317073488844
udd1,10000,39,hours_1,0.06747798330409353,0.0014610191726168917,0.06499749624436656,0.06983967935871743,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.0734612839,0.0014646004502355855,Uses total age-cell frequency,0.9975547750117667
udd1,10000,39,hours_2,0.06300850237352737,0.0016856053691119552,0.060691036554832246,0.06680689102564102,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.0629037849,0.001362977231911488,Uses total age-cell frequency,1.2367083834173824
udd1,10000,39,hours_3,0.09143639672776119,0.0031222981758052865,0.08678224270969034,0.09614421632448673,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.0898490435,0.0016053567721710758,Uses total age-cell frequency,1.9449247855245955
udd1,10000,39,hours_4,0.5792012725965885,0.0029498272265674084,0.5729177107346898,0.5826235093696763,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.5606819829,0.0027861591994010637,Uses total age-cell frequency,1.0587432431002248
udd1,10000,39,nowork_nowork,0.0970985536210173,0.00237797371255642,0.09354967948717949,0.10047080036061304,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.1839339924,0.002174962449571994,Approximate: uses total age-cell frequency,1.093340123193564
udd1,10000,39,prob_work,0.8011241550019704,0.003185833046725047,0.793725568808259,0.8043870192307693,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.7868960953,0.0022988599768867745,Uses total age-cell frequency,1.385831707348898
udd1,10000,39,work_work,0.6908291481864846,0.0034986162891074333,0.6852761351107547,0.6951121794871795,10,1.7042888164520265,2.595287322998047,20,5,5,31731,0.7458161438,0.0024442633303284507,Approximate: uses total age-cell frequency,1.4313581706588474
udd1,10000,40,hours_0,0.19539344674406225,0.002842121399765301,0.1912781954887218,0.19931856899488926,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.2126094245,0.002279628274445702,Uses total age-cell frequency,1.246747740245664
udd1,10000,40,hours_1,0.06566321420247516,0.0020134114702092566,0.06265664160401002,0.06911425418798274,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.0723288011,0.001443212702723746,Uses total age-cell frequency,1.3950899035252295
udd1,10000,40,hours_2,0.06314597710735813,0.0032817442698125925,0.05932458162140495,0.06807017543859649,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.0626435711,0.001350107369104211,Uses total age-cell frequency,2.4307283590267432
udd1,10000,40,hours_3,0.09109993000128407,0.0021481904078547442,0.08750125288162774,0.09559634868091083,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.0900540138,0.001594913069640975,Uses total age-cell frequency,1.3469012504476596
udd1,10000,40,hours_4,0.5846974319448204,0.0022057864016997064,0.5809848560826396,0.5876040517500752,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.5623641895,0.002764031114803372,Uses total age-cell frequency,0.7980324063235525
udd1,10000,40,nowork_nowork,0.09261359600664011,0.0024330369339818384,0.0876102646351243,0.09539572675293409,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.1850505205,0.002163655792257215,Approximate: uses total age-cell frequency,1.1245027710454785
udd1,10000,40,prob_work,0.8046065532559379,0.0028421213997653076,0.8006814310051107,0.8087218045112782,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.7873905755,0.0022796282744457015,Uses total age-cell frequency,1.246747740245667
udd1,10000,40,work_work,0.6982967059293533,0.0027006686776078394,0.6928628708901363,0.7024370674957376,10,1.7042888164520265,2.595287322998047,20,5,5,32214,0.7468616044,0.002422572321862663,Approximate: uses total age-cell frequency,1.1147938301925924
udd1,10000,41,hours_0,0.18832888786049412,0.004656473415381386,0.1826479438314945,0.19458646616541353,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.2158135866,0.0022660111095178944,Uses total age-cell frequency,2.054920823566516
udd1,10000,41,hours_1,0.06551929036572511,0.0026965713638432806,0.06048751128498345,0.06934269944806824,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.068630723,0.0013926219231663126,Uses total age-cell frequency,1.9363269520504633
udd1,10000,41,hours_2,0.06191651343018305,0.0028866068650994906,0.05779070934082472,0.0671013039117352,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.0602263418,0.0013104421779777853,Uses total age-cell frequency,2.2027731658896776
udd1,10000,41,hours_3,0.09172670025833023,0.002421576256799188,0.08917644698565554,0.09693928750627195,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.0858035741,0.0015427140527699578,Uses total age-cell frequency,1.5696857447115522
udd1,10000,41,hours_4,0.5925086080852675,0.006508941122122474,0.5803472849543311,0.6035710703179857,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.5695257744,0.002727364950947533,Uses total age-cell frequency,2.3865310434018587
udd1,10000,41,nowork_nowork,0.0891571406847951,0.003139949954557521,0.0850145538492422,0.0943358395989975,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.1879783461,0.0021520418080539284,Approximate: uses total age-cell frequency,1.4590562055097567
udd1,10000,41,prob_work,0.8116711121395059,0.004656473415381364,0.8054135338345865,0.8173520561685055,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.7841864134,0.0022660111095178944,Uses total age-cell frequency,2.054920823566506
udd1,10000,41,work_work,0.7054161084856257,0.004327151448902034,0.6988858777476664,0.711162370875539,10,1.7042888164520265,2.595287322998047,20,5,5,32959,0.746649244,0.0023956998403133114,Approximate: uses total age-cell frequency,1.8062160276039114
udd1,10000,42,hours_0,0.18266796430139037,0.0037812290020801474,0.17754569190600522,0.18866031108881084,10,1.7042888164520265,2.595287322998047,20,5,5,33929,0.2110583866,0.0022153288792549682,Uses total age-cell frequency,1.7068476999007944
