education,n_individuals,mean_sim_time_seconds,sd_sim_time_seconds,min_sim_time_seconds,max_sim_time_seconds,n_seeds
udd1,10000,1.7042888164520265,0.49371802218249067,1.4434845447540283,3.0788278579711914,10
udd1,25000,2.6188261985778807,0.5383555989510649,2.392534017562866,4.129596471786499,10
udd1,50000,3.8755887269973757,0.48541942462669346,3.6796329021453857,5.255568265914917,10
udd1,100000,7.105684733390808,0.5978226535211475,6.871378421783447,8.802257061004639,10
udd1,250000,17.152195978164674,0.5661405360280826,16.848798513412476,18.72831106185913,10
udd1,500000,34.83719096183777,0.9818873167890962,33.84862041473389,36.764490365982056,10
udd2,10000,1.5923665046691895,0.39243858200594006,1.3969805240631104,2.678774356842041,10
udd2,25000,2.508487606048584,0.03483215635304276,2.4800477027893066,2.600358247756958,10
udd2,50000,3.8049922227859496,0.0420281025007609,3.759887218475342,3.911010265350342,10
udd2,100000,7.141404366493225,0.18754166177323237,7.021381378173828,7.661159038543701,10
udd2,250000,17.28797266483307,0.041920371056987905,17.204171895980835,17.34124445915222,10
udd2,500000,35.37361869812012,0.3783639066522562,34.759082317352295,35.88520550727844,10
udd3,10000,1.6847780704498292,0.5478478208808434,1.4408588409423828,3.21247935295105,10
udd3,25000,2.566559362411499,0.031861386129669024,2.5267562866210938,2.6161246299743652,10
udd3,50000,3.8973573207855225,0.03546699647422965,3.8645808696746826,3.962127208709717,10
udd3,100000,7.17368974685669,0.058077768426945404,7.099685192108154,7.283869504928589,10
udd3,250000,17.57396912574768,0.23428764034467295,17.357643365859985,18.14379072189331,10
udd3,500000,35.38734409809113,0.35701730021226674,34.99196100234985,36.00586271286011,10
