education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
udd1,53,41296,0.7609695854,0.2390304146,0.0593762108,0.0447985277,0.0668829911,0.5899118559,2.842571184,0.7302130898,0.2208757757,25.684654361,4.475473302,0.0026580157,1650.8194113,1.9946189e-06,3.6473817248,
udd1,54,42101,0.7576067077,0.2423932923,0.0570057718,0.0450345597,0.0644402746,0.5911261015,2.9324936002,0.7277731347,0.2236663881,26.687439513,4.5125020515,0.0026678841,1656.4522197,1.9598944e-06,3.4735139712,
udd1,55,42583,0.7569922269,0.2430077731,0.0551393749,0.0444543597,0.0643684099,0.5930300824,3.0097160257,0.7300996078,0.2249216964,27.712485453,4.5336076952,0.0026780057,1661.2610517,1.9736159e-06,3.5975403867,
udd1,56,42538,0.7530443368,0.2469556632,0.0563496168,0.0444778786,0.0642954535,0.5879213879,3.2612753431,0.7255845362,0.2267522017,28.657898172,4.5296615708,0.0026806995,1657.3798895,1.9817129e-06,3.6721356717,
udd1,57,41686,0.7471813079,0.2528186921,0.0563258648,0.0428201315,0.0635465144,0.5844887972,3.4628794285,0.7195160232,0.233712867,29.617512732,4.5061473186,0.0026705489,1658.6814139,1.8175453e-06,3.3923207923,
udd1,58,40096,0.7387270551,0.2612729449,0.0542946927,0.0431464485,0.061277933,0.5800079808,3.567436094,0.7155067517,0.2394717317,30.482081677,4.4831647433,0.0026526301,1661.7910196,1.7919149e-06,3.5322482542,
udd1,59,38600,0.7272279793,0.2727720207,0.0550518135,0.043238342,0.0641450777,0.5647927461,3.750048352,0.7042536736,0.2504253674,31.081284567,4.4053358127,0.0026204344,1653.7957323,1.6418966e-06,3.5595647079,
udd1,60,36987,0.7127909806,0.2872090194,0.0578581664,0.0436369535,0.0634276908,0.5478681699,3.9858997696,0.692141219,0.2606027326,31.666305161,4.3506552899,0.0026095987,1642.2735548,1.6021332e-06,3.3606771527,
udd1,61,35482,0.6865171073,0.3134828927,0.0615523364,0.0432331887,0.0656389155,0.5160926667,4.0444610301,0.6680743243,0.2778040541,31.922717639,4.2786738932,0.0026066492,1622.2751344,1.5592103e-06,3.3015112337,
udd1,62,34081,0.6530911652,0.3469088348,0.0618233033,0.0443942373,0.0674569408,0.4794166838,4.2731838767,0.6330191334,0.3056767023,32.205480016,4.2678086562,0.00263989,1603.6616048,1.6335838e-06,3.492742563,
udd1,63,32751,0.608439437,0.391560563,0.0672651217,0.0475710665,0.0684864584,0.4251167903,4.2951528431,0.5905721693,0.3404534998,32.238199357,4.1528557139,0.002658254,1560.1370001,1.7149087e-06,3.5785321901,
udd1,64,31813,0.5374218087,0.4625781913,0.0708515387,0.0463018263,0.0596925785,0.3605758652,4.4793317727,0.5234845597,0.3903164316,32.186725469,4.0580394344,0.0027019925,1516.7485524,2.088918e-06,4.0008357404,
udd1,65,31074,0.4617365,0.5382635,0.0767200875,0.0473064298,0.0552873785,0.2824226041,4.8111777575,0.451007183,0.467988757,32.002267368,3.8590448517,0.0027405007,1436.1792584,2.3704082e-06,3.9882760407,
udd1,66,30479,0.369729978,0.630270022,0.0778568851,0.0360904229,0.0468191214,0.2089635487,5.1217563467,0.3638179712,0.539813816,31.632583125,3.6531559833,0.0027316668,1364.3136037,2.4736463e-06,4.3017885367,
udd1,67,30295,0.2943389998,0.7056610002,0.0827859383,0.0384221819,0.039973593,0.1331572867,5.2727842568,0.2869565217,0.6314256825,31.217192884,3.2703659294,0.0028158329,1204.3175956,3.520496e-06,4.9940671471,1164798.841
udd1,68,29842,0.2285369613,0.7714630387,0.0816634274,0.0315997587,0.0289859929,0.0862877823,5.323214751,0.2166905885,0.7120360878,30.641353635,2.8672038142,0.0027700668,1075.2932551,3.9819087e-06,5.1131170245,
udd1,69,29091,0.1882712867,0.8117287133,0.07679351,0.0279811626,0.022721804,0.0607748101,5.3341430336,0.1757674887,0.7710954538,29.922977987,2.5723672696,0.00270829,983.65893737,3.5600036e-06,4.4816233158,
udd1,70,28733,0.1609299412,0.8390700588,0.0722862214,0.0253019177,0.0184108864,0.0449309157,5.5090452831,0.1487553905,0.8070961957,29.455527511,2.3681511564,0.0027010966,909.40743945,3.8286742e-06,4.6570600831,
udd1,71,28201,0.1363072231,0.8636927769,0.0690046452,0.0194673948,0.0150349278,0.0328002553,5.8080672987,0.1242171641,0.8336716624,28.888780638,2.1163406506,0.0026734546,834.27419355,3.7350335e-06,4.3355714094,
