education,n_individuals,seed,age,sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,moment,sim_value
udd1,10000,101,30,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.6836
udd1,10000,101,31,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.6931
udd1,10000,101,32,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7243
udd1,10000,101,33,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7328732873287329
udd1,10000,101,34,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7589276783034911
udd1,10000,101,35,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7640056022408963
udd1,10000,101,36,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7714714714714714
udd1,10000,101,37,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7794692038057086
udd1,10000,101,38,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7889990982867449
udd1,10000,101,39,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.803848852360429
udd1,10000,101,40,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8023267475679471
udd1,10000,101,41,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8147516307074761
udd1,10000,101,42,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8224543080939948
udd1,10000,101,43,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8256631832797428
udd1,10000,101,44,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8317916750452443
udd1,10000,101,45,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8319073980875692
udd1,10000,101,46,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8377506802378313
udd1,10000,101,47,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.841552142279709
udd1,10000,101,48,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8476190476190476
udd1,10000,101,49,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8486448076337427
udd1,10000,101,50,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8485804416403786
udd1,10000,101,51,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8496325030624745
udd1,10000,101,52,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8486956521739131
udd1,10000,101,53,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8470938591086465
udd1,10000,101,54,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8392378990731205
udd1,10000,101,55,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8256871254391404
udd1,10000,101,56,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8041312019929416
udd1,10000,101,57,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.8024420788979336
udd1,10000,101,58,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7907391852162957
udd1,10000,101,59,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7718723584108199
udd1,10000,101,60,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7584227866935912
udd1,10000,101,61,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.735533647663952
udd1,10000,101,62,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.7085497835497836
udd1,10000,101,63,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.6857049251938407
udd1,10000,101,64,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.6427233667511292
udd1,10000,101,65,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.5709192200557103
udd1,10000,101,66,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.45138339920948617
udd1,10000,101,67,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.3567586127961543
udd1,10000,101,68,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.2960854919270531
udd1,10000,101,69,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.2491141034727144
udd1,10000,101,70,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.21964479884015947
udd1,10000,101,71,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.1921182266009852
udd1,10000,101,72,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.16336321171569246
udd1,10000,101,73,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.1443552563438633
udd1,10000,101,74,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.13214333288930333
udd1,10000,101,75,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.11002747252747253
udd1,10000,101,76,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.09371428571428571
udd1,10000,101,77,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.08189398451459202
udd1,10000,101,78,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.06682316118935837
udd1,10000,101,79,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.056326395771390814
udd1,10000,101,80,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.045422902888966235
udd1,10000,101,81,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.04584580838323353
udd1,10000,101,82,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.03981500100542932
udd1,10000,101,83,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.06499454743729553
udd1,10000,101,84,3.0788278579711914,2.595287322998047,20,5,5,prob_work,0.794272076372315
udd1,10000,202,30,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.6875
udd1,10000,202,31,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7071
udd1,10000,202,32,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7199
udd1,10000,202,33,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7344734473447345
udd1,10000,202,34,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7558755875587558
udd1,10000,202,35,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7690307092127638
udd1,10000,202,36,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7758430901631141
udd1,10000,202,37,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.785277916875313
udd1,10000,202,38,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7922637538831546
udd1,10000,202,39,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.801925584194163
udd1,10000,202,40,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8073026381783529
udd1,10000,202,41,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8066847335140018
udd1,10000,202,42,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8176523747364193
udd1,10000,202,43,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8287926007841561
udd1,10000,202,44,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8311845286059629
udd1,10000,202,45,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8353332661087022
udd1,10000,202,46,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8347632986777026
udd1,10000,202,47,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8412008490852118
udd1,10000,202,48,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8388827041797389
udd1,10000,202,49,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8470349721236695
udd1,10000,202,50,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8470683873590082
udd1,10000,202,51,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8430013253134876
udd1,10000,202,52,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8478372021679108
udd1,10000,202,53,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8436505492249256
udd1,10000,202,54,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8389123493665671
udd1,10000,202,55,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8221188630490956
udd1,10000,202,56,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.816851717339421
udd1,10000,202,57,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.8021256642700844
udd1,10000,202,58,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7940004195510804
udd1,10000,202,59,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7817050010550749
udd1,10000,202,60,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7588916020809003
udd1,10000,202,61,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7340619307832422
udd1,10000,202,62,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.7065182142471084
udd1,10000,202,63,1.4434845447540283,2.595287322998047,20,5,5,prob_work,0.6854741896758704
