label,n_assets,n_experience,n_quad_points,n_individuals,solve_time,sim_time,rmse_vs_benchmark,mean_abs_diff_vs_benchmark,max_abs_diff_vs_benchmark
N=10000,20,5,5,10000,2.5349361896514893,3.043421745300293,0.004220282775529514,0.0030338978147716003,0.01940076401763391
N=25000,20,5,5,25000,2.5349361896514893,4.371412992477417,0.002585920237636887,0.001895879127098731,0.009314372612282407
N=50000,20,5,5,50000,2.5349361896514893,5.633008241653442,0.001902762692918943,0.0014325332735437935,0.007516683139831115
N=100000,20,5,5,100000,2.5349361896514893,9.7276451587677,0.0011169424115353589,0.0008461415412571974,0.004023204741312014
N=250000,20,5,5,250000,2.5349361896514893,22.22505235671997,0.0009028960906874273,0.0006798575767859037,0.003261126812214077
N=500000,20,5,5,500000,2.5349361896514893,41.27378511428833,0.0006803165425352793,0.0004954699229967818,0.002974735429103481
N=1000000,20,5,5,1000000,2.5349361896514893,90.34131908416748,0.0,0.0,0.0
