label,n_individuals,n_compared_cells,mean_error_to_se,median_error_to_se,p90_error_to_se,max_error_to_se,share_below_0_25_se,share_below_0_50_se,share_below_1_00_se,mean_absolute_simulation_error,max_absolute_simulation_error,sim_time_seconds,solve_time_seconds
N=10000,10000,438,1.5065284791681772,1.1551210007556305,3.5198066521357236,9.583018107947222,0.11643835616438356,0.23059360730593606,0.4360730593607306,0.0030338978147716007,0.01940076401763391,3.043421745300293,2.5349361896514893
N=25000,25000,438,1.028301457685628,0.759584505771478,2.32917808861626,12.514432736589448,0.2054794520547945,0.365296803652968,0.6164383561643836,0.001895879127098731,0.009314372612282407,4.371412992477417,2.5349361896514893
N=50000,50000,438,0.7368289423032265,0.5969488549584452,1.4905120905546299,7.464556583972404,0.21689497716894976,0.4360730593607306,0.7168949771689498,0.0014325332735437935,0.007516683139831115,5.633008241653442,2.5349361896514893
N=100000,100000,438,0.4587127668577997,0.3565235780364814,1.012712230398589,1.9406035188089126,0.4155251141552511,0.6232876712328768,0.8972602739726028,0.0008461415412571974,0.004023204741312014,9.7276451587677,2.5349361896514893
N=250000,250000,438,0.3573847763579949,0.2920516824197299,0.7635133060310169,2.8042524259269825,0.4406392694063927,0.7465753424657534,0.9634703196347032,0.0006798575767859037,0.003261126812214077,22.22505235671997,2.5349361896514893
N=500000,500000,438,0.2486451049409278,0.1897503845579928,0.5318103439105486,1.0814294856854114,0.6278538812785388,0.867579908675799,0.9908675799086758,0.0004954699229967818,0.002974735429103481,41.27378511428833,2.5349361896514893
N=1000000,1000000,438,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,90.34131908416748,2.5349361896514893
